system number	system name	organism	gene family	partition	annotation name	gene	start	stop	strand	is_fragment
3	CAS_Class1-Subtype-III-A	GCF_013378115.1_ASM1337811v1	E5093_RS00535	cloud	csm4gr5_III-A_3		117865	118848	+	False
3	CAS_Class1-Subtype-III-A	GCF_013378115.1_ASM1337811v1	E5093_RS00535	cloud	csm4gr5_III-A_1		117865	118848	+	False
3	CAS_Class1-Subtype-III-A	GCF_013378115.1_ASM1337811v1	E5093_RS00540	cloud	csm5gr7_III-A_2	csm5	118845	120473	+	False
3	CAS_Class1-Subtype-III-A	GCF_013378115.1_ASM1337811v1	E5093_RS00540	cloud	csm5gr7_III-A_4	csm5	118845	120473	+	False
3	CAS_Class1-Subtype-III-A	GCF_013378115.1_ASM1337811v1	E5093_RS00540	cloud	csm5gr7_III-A_3	csm5	118845	120473	+	False
3	CAS_Class1-Subtype-III-A	GCF_013378115.1_ASM1337811v1	E5093_RS00545	cloud	cas6_I_II_III_IV_V_VI_22	cas6	120470	121390	+	False
3	CAS_Class1-Subtype-III-A	GCF_013378115.1_ASM1337811v1	E5093_RS00545	cloud	cas6_III_1	cas6	120470	121390	+	False
3	CAS_Class1-Subtype-III-A	GCF_013378115.1_ASM1337811v1	E5093_RS00545	cloud	cas6_I_II_III_IV_V_VI_17	cas6	120470	121390	+	False
3	CAS_Class1-Subtype-III-A	GCF_013378115.1_ASM1337811v1	E5093_RS00550	cloud	csx1_III_3	csx2	121390	122556	+	False
3	CAS_Class1-Subtype-III-A	GCF_013378115.1_ASM1337811v1	E5093_RS00550	cloud	csx1_III_19	csx2	121390	122556	+	False
3	CAS_Class1-Subtype-III-A	GCF_013378115.1_ASM1337811v1	E5093_RS00550	cloud	csx1_III_9	csx2	121390	122556	+	False
30	Wadjet_I	GCF_002953575.2_ASM295357v2	G0030_RS08375	cloud	JetD_I		1746655	1747440	-	True
30	Wadjet_I	GCF_002953575.2_ASM295357v2	G0030_RS08375	cloud	JetD_I		1749995	1750132	-	True
30	Wadjet_I	GCF_002953575.2_ASM295357v2	CTZ23_RS08415	cloud	JetC_I		1750125	1752890	-	False
30	Wadjet_I	GCF_002953575.2_ASM295357v2	G0030_RS08385	cloud	JetB_I		1754813	1755628	-	False
30	Wadjet_I	GCF_002953575.2_ASM295357v2	G0030_RS08390	cloud	JetA_I		1755642	1757102	-	False
30	Wadjet_I	GCF_015218885.1_ASM1521888v1	G0030_RS08375	cloud	JetD_I		1784353	1785549	-	False
30	Wadjet_I	GCF_015218885.1_ASM1521888v1	CTZ23_RS08415	cloud	JetC_I		1785542	1788922	-	False
30	Wadjet_I	GCF_015218885.1_ASM1521888v1	G0030_RS08385	cloud	JetB_I		1788919	1789734	-	False
30	Wadjet_I	GCF_015218885.1_ASM1521888v1	G0030_RS08390	cloud	JetA_I		1789748	1791208	-	False
31	Druantia_III	GCF_009914435.1_ASM991443v1	GA721_RS08280	cloud	DruE_1		1745883	1752182	-	False
31	Druantia_III	GCF_009914435.1_ASM991443v1	GA721_RS08280	cloud	DruE_3		1745883	1752182	-	False
31	Druantia_III	GCF_009914435.1_ASM991443v1	GA721_RS08280	cloud	DruE_2		1745883	1752182	-	False
31	Druantia_III	GCF_009914435.1_ASM991443v1	GA721_RS08285	cloud	DruH		1752184	1755552	-	False
32	Gao_Her_SIR	GCF_002953575.2_ASM295357v2	CTZ23_RS14505	cloud	SIR2		3007426	3008607	+	False
32	Gao_Her_SIR	GCF_002953575.2_ASM295357v2	CTZ23_RS14510	cloud	HerA_SIR2		3008600	3010300	+	False
33	Gao_Qat	GCF_015217905.1_ASM1521790v1	G0027_RS03445	cloud	QatD		722263	723006	-	False
33	Gao_Qat	GCF_015217905.1_ASM1521790v1	G0027_RS03450	cloud	QatC		723003	724325	-	False
33	Gao_Qat	GCF_015217905.1_ASM1521790v1	G0027_RS03455	cloud	QatB		724318	725079	-	False
33	Gao_Qat	GCF_015217905.1_ASM1521790v1	G0027_RS03460	cloud	QatA		725094	726893	-	False
34	PD-T7-2	GCF_002953575.2_ASM295357v2	CTZ23_RS14505	cloud	PD-T7-2_A		3007426	3008607	+	False
34	PD-T7-2	GCF_002953575.2_ASM295357v2	CTZ23_RS14510	cloud	PD-T7-2_B		3008600	3010300	+	False
35	SpbK	GCF_009914435.1_ASM991443v1	GA721_RS03575	cloud	SpbK		753680	754843	+	False
36	Mokosh_TypeI	GCF_009914395.1_ASM991439v1	GA646_RS00765	cloud	MkoA2		149348	154492	+	False
36	Mokosh_TypeI	GCF_009914395.1_ASM991439v1	GA646_RS00765	cloud	MkoA		149348	154492	+	False
36	Mokosh_TypeI	GCF_009914395.1_ASM991439v1	GA646_RS00770	cloud	MkoB		154489	155913	+	False
36	Mokosh_TypeI	GCF_009914395.1_ASM991439v1	GA646_RS00770	cloud	MkoB2		154489	155913	+	False
37	Mokosh_TypeI	GCF_012278715.1_ASM1227871v1	FK537_RS01825	cloud	MkoB		304225	306267	-	False
37	Mokosh_TypeI	GCF_012278715.1_ASM1227871v1	FK537_RS01825	cloud	MkoB2		304225	306267	-	False
37	Mokosh_TypeI	GCF_012278715.1_ASM1227871v1	FK537_RS01830	cloud	MkoA		306264	309806	-	False
37	Mokosh_TypeI	GCF_012278715.1_ASM1227871v1	FK537_RS01830	cloud	MkoA2		306264	309806	-	False
37	Mokosh_TypeI	GCF_012278715.1_ASM1227871v1	FK537_RS01835	cloud	MkoA2		309796	311286	-	False
38	Mokosh_TypeI	GCF_009296145.1_ASM929614v1	FHP22_RS13945	cloud	MkoA2		2873486	2875462	+	False
38	Mokosh_TypeI	GCF_009296145.1_ASM929614v1	FHP22_RS13945	cloud	MkoA		2873486	2875462	+	False
38	Mokosh_TypeI	GCF_009296145.1_ASM929614v1	FHP22_RS13950	cloud	MkoB2		2875462	2876919	+	False
39	PD-T7-3	GCF_010917815.1_ASM1091781v1	FSC02_RS11300	cloud	PD-T7-3		2345080	2345532	-	False
4	CAS_Cluster	GCF_013378115.1_ASM1337811v1	E5093_RS00480	cloud	cas2_I_II_III_IV_V_VI_13	cas2	109073	109333	+	False
4	CAS_Cluster	GCF_013378115.1_ASM1337811v1	E5093_RS00480	cloud	cas2_I_II_III_IV_V_VI_3	cas2	109073	109333	+	False
4	CAS_Cluster	GCF_013378115.1_ASM1337811v1	E5093_RS00485	cloud	cas1_III_1	cas1	109368	110309	+	False
4	CAS_Cluster	GCF_013378115.1_ASM1337811v1	E5093_RS00485	cloud	cas1_I_II_III_IV_V_VI_2	cas1	109368	110309	+	False
4	CAS_Cluster	GCF_013378115.1_ASM1337811v1	E5093_RS00485	cloud	cas1_I_II_III_IV_V_VI_1	cas1	109368	110309	+	False
4	CAS_Cluster	GCF_013378115.1_ASM1337811v1	E5093_RS00490	cloud	cas2_I_II_III_IV_V_VI_3	cas2	110327	110620	+	False
4	CAS_Cluster	GCF_013378115.1_ASM1337811v1	E5093_RS00490	cloud	cas2_I_II_III_IV_V_VI_13	cas2	110327	110620	+	False
40	PD-T7-4	GCF_013378115.1_ASM1337811v1	G0030_RS03255	cloud	PD-T7-4		2413410	2414117	-	False
40	PD-T7-4	GCF_015218885.1_ASM1521888v1	G0030_RS03255	cloud	PD-T7-4		682886	683593	+	False
40	PD-T7-4	GCF_017132735.1_ASM1713273v1	G0030_RS03255	cloud	PD-T7-4		2468829	2469536	-	False
41	RosmerTA	GCF_002953575.2_ASM295357v2	FSC09_RS17485	shell	RmrA_2617826694		216365	216667	-	False
41	RosmerTA	GCF_002953575.2_ASM295357v2	FSC09_RS17485	shell	RmrA_2634932349		216365	216667	-	False
41	RosmerTA	GCF_002953575.2_ASM295357v2	FSC09_RS17485	shell	RmrA_2664250653		216365	216667	-	False
41	RosmerTA	GCF_002953575.2_ASM295357v2	CTZ23_RS01080	shell	RmrA_2623274509		227544	228650	-	False
41	RosmerTA	GCF_002953575.2_ASM295357v2	CTZ23_RS01080	shell	RmrA_2617826694		227544	228650	-	False
41	RosmerTA	GCF_002953575.2_ASM295357v2	CTZ23_RS01080	shell	RmrA_2585209417		227544	228650	-	False
41	RosmerTA	GCF_002953575.2_ASM295357v2	CTZ23_RS01080	shell	RmrA_2676476075		227544	228650	-	False
41	RosmerTA	GCF_002953575.2_ASM295357v2	CTZ23_RS01080	shell	RmrA_2634882613		227544	228650	-	False
41	RosmerTA	GCF_002953575.2_ASM295357v2	CTZ23_RS01080	shell	RmrA_2641389401		227544	228650	-	False
41	RosmerTA	GCF_002953575.2_ASM295357v2	CTZ23_RS01080	shell	RmrA_2662548665		227544	228650	-	False
41	RosmerTA	GCF_002953575.2_ASM295357v2	CTZ23_RS01080	shell	RmrA_2753529055		227544	228650	-	False
41	RosmerTA	GCF_002953575.2_ASM295357v2	CTZ23_RS01080	shell	RmrA_2600853143		227544	228650	-	False
41	RosmerTA	GCF_002953575.2_ASM295357v2	CTZ23_RS01080	shell	RmrA_2734955840		227544	228650	-	False
41	RosmerTA	GCF_002953575.2_ASM295357v2	CTZ23_RS01080	shell	RmrA_2634932349		227544	228650	-	False
41	RosmerTA	GCF_002953575.2_ASM295357v2	CTZ23_RS01080	shell	RmrA_2664250653		227544	228650	-	False
41	RosmerTA	GCF_002953575.2_ASM295357v2	CTZ23_RS01080	shell	RmrA_2603008502		227544	228650	-	False
41	RosmerTA	GCF_002953575.2_ASM295357v2	CTZ23_RS01080	shell	RmrA_2677172838		227544	228650	-	False
41	RosmerTA	GCF_002953575.2_ASM295357v2	CTZ23_RS01085	shell	RmrT_2641389401		228663	229373	-	False
41	RosmerTA	GCF_002953575.2_ASM295357v2	CTZ23_RS01085	shell	RmrT_2634932349		228663	229373	-	False
41	RosmerTA	GCF_009914375.1_ASM991437v1	CTZ23_RS01080	shell	RmrA_2623274509		66371	67477	-	False
41	RosmerTA	GCF_009914375.1_ASM991437v1	CTZ23_RS01080	shell	RmrA_2617826694		66371	67477	-	False
41	RosmerTA	GCF_009914375.1_ASM991437v1	CTZ23_RS01080	shell	RmrA_2585209417		66371	67477	-	False
41	RosmerTA	GCF_009914375.1_ASM991437v1	CTZ23_RS01080	shell	RmrA_2676476075		66371	67477	-	False
41	RosmerTA	GCF_009914375.1_ASM991437v1	CTZ23_RS01080	shell	RmrA_2634882613		66371	67477	-	False
41	RosmerTA	GCF_009914375.1_ASM991437v1	CTZ23_RS01080	shell	RmrA_2641389401		66371	67477	-	False
41	RosmerTA	GCF_009914375.1_ASM991437v1	CTZ23_RS01080	shell	RmrA_2662548665		66371	67477	-	False
41	RosmerTA	GCF_009914375.1_ASM991437v1	CTZ23_RS01080	shell	RmrA_2753529055		66371	67477	-	False
41	RosmerTA	GCF_009914375.1_ASM991437v1	CTZ23_RS01080	shell	RmrA_2600853143		66371	67477	-	False
41	RosmerTA	GCF_009914375.1_ASM991437v1	CTZ23_RS01080	shell	RmrA_2734955840		66371	67477	-	False
41	RosmerTA	GCF_009914375.1_ASM991437v1	CTZ23_RS01080	shell	RmrA_2634932349		66371	67477	-	False
41	RosmerTA	GCF_009914375.1_ASM991437v1	CTZ23_RS01080	shell	RmrA_2664250653		66371	67477	-	False
41	RosmerTA	GCF_009914375.1_ASM991437v1	CTZ23_RS01080	shell	RmrA_2603008502		66371	67477	-	False
41	RosmerTA	GCF_009914375.1_ASM991437v1	CTZ23_RS01080	shell	RmrA_2677172838		66371	67477	-	False
41	RosmerTA	GCF_009914375.1_ASM991437v1	CTZ23_RS01085	shell	RmrT_2641389401		67490	68200	-	False
41	RosmerTA	GCF_009914375.1_ASM991437v1	CTZ23_RS01085	shell	RmrT_2634932349		67490	68200	-	False
41	RosmerTA	GCF_009914375.1_ASM991437v1	FSC09_RS17485	shell	RmrA_2617826694		846364	846666	-	False
41	RosmerTA	GCF_009914375.1_ASM991437v1	FSC09_RS17485	shell	RmrA_2634932349		846364	846666	-	False
41	RosmerTA	GCF_009914375.1_ASM991437v1	FSC09_RS17485	shell	RmrA_2664250653		846364	846666	-	False
41	RosmerTA	GCF_009914395.1_ASM991439v1	FSC09_RS17485	shell	RmrA_2617826694		60899	61201	-	False
41	RosmerTA	GCF_009914395.1_ASM991439v1	FSC09_RS17485	shell	RmrA_2634932349		60899	61201	-	False
41	RosmerTA	GCF_009914395.1_ASM991439v1	FSC09_RS17485	shell	RmrA_2664250653		60899	61201	-	False
41	RosmerTA	GCF_009914395.1_ASM991439v1	CTZ23_RS01080	shell	RmrA_2623274509		66371	67477	-	False
41	RosmerTA	GCF_009914395.1_ASM991439v1	CTZ23_RS01080	shell	RmrA_2617826694		66371	67477	-	False
41	RosmerTA	GCF_009914395.1_ASM991439v1	CTZ23_RS01080	shell	RmrA_2585209417		66371	67477	-	False
41	RosmerTA	GCF_009914395.1_ASM991439v1	CTZ23_RS01080	shell	RmrA_2676476075		66371	67477	-	False
41	RosmerTA	GCF_009914395.1_ASM991439v1	CTZ23_RS01080	shell	RmrA_2634882613		66371	67477	-	False
41	RosmerTA	GCF_009914395.1_ASM991439v1	CTZ23_RS01080	shell	RmrA_2641389401		66371	67477	-	False
41	RosmerTA	GCF_009914395.1_ASM991439v1	CTZ23_RS01080	shell	RmrA_2662548665		66371	67477	-	False
41	RosmerTA	GCF_009914395.1_ASM991439v1	CTZ23_RS01080	shell	RmrA_2753529055		66371	67477	-	False
41	RosmerTA	GCF_009914395.1_ASM991439v1	CTZ23_RS01080	shell	RmrA_2600853143		66371	67477	-	False
41	RosmerTA	GCF_009914395.1_ASM991439v1	CTZ23_RS01080	shell	RmrA_2734955840		66371	67477	-	False
41	RosmerTA	GCF_009914395.1_ASM991439v1	CTZ23_RS01080	shell	RmrA_2634932349		66371	67477	-	False
41	RosmerTA	GCF_009914395.1_ASM991439v1	CTZ23_RS01080	shell	RmrA_2664250653		66371	67477	-	False
41	RosmerTA	GCF_009914395.1_ASM991439v1	CTZ23_RS01080	shell	RmrA_2603008502		66371	67477	-	False
41	RosmerTA	GCF_009914395.1_ASM991439v1	CTZ23_RS01080	shell	RmrA_2677172838		66371	67477	-	False
41	RosmerTA	GCF_009914395.1_ASM991439v1	CTZ23_RS01085	shell	RmrT_2641389401		67490	68200	-	False
41	RosmerTA	GCF_009914395.1_ASM991439v1	CTZ23_RS01085	shell	RmrT_2634932349		67490	68200	-	False
41	RosmerTA	GCF_009914415.1_ASM991441v1	FSC09_RS17485	shell	RmrA_2617826694		273243	273545	-	False
41	RosmerTA	GCF_009914415.1_ASM991441v1	FSC09_RS17485	shell	RmrA_2634932349		273243	273545	-	False
41	RosmerTA	GCF_009914415.1_ASM991441v1	FSC09_RS17485	shell	RmrA_2664250653		273243	273545	-	False
41	RosmerTA	GCF_009914415.1_ASM991441v1	CTZ23_RS01080	shell	RmrA_2623274509		284399	285505	-	False
41	RosmerTA	GCF_009914415.1_ASM991441v1	CTZ23_RS01080	shell	RmrA_2617826694		284399	285505	-	False
41	RosmerTA	GCF_009914415.1_ASM991441v1	CTZ23_RS01080	shell	RmrA_2585209417		284399	285505	-	False
41	RosmerTA	GCF_009914415.1_ASM991441v1	CTZ23_RS01080	shell	RmrA_2676476075		284399	285505	-	False
41	RosmerTA	GCF_009914415.1_ASM991441v1	CTZ23_RS01080	shell	RmrA_2634882613		284399	285505	-	False
41	RosmerTA	GCF_009914415.1_ASM991441v1	CTZ23_RS01080	shell	RmrA_2641389401		284399	285505	-	False
41	RosmerTA	GCF_009914415.1_ASM991441v1	CTZ23_RS01080	shell	RmrA_2662548665		284399	285505	-	False
41	RosmerTA	GCF_009914415.1_ASM991441v1	CTZ23_RS01080	shell	RmrA_2753529055		284399	285505	-	False
41	RosmerTA	GCF_009914415.1_ASM991441v1	CTZ23_RS01080	shell	RmrA_2600853143		284399	285505	-	False
41	RosmerTA	GCF_009914415.1_ASM991441v1	CTZ23_RS01080	shell	RmrA_2734955840		284399	285505	-	False
41	RosmerTA	GCF_009914415.1_ASM991441v1	CTZ23_RS01080	shell	RmrA_2634932349		284399	285505	-	False
41	RosmerTA	GCF_009914415.1_ASM991441v1	CTZ23_RS01080	shell	RmrA_2664250653		284399	285505	-	False
41	RosmerTA	GCF_009914415.1_ASM991441v1	CTZ23_RS01080	shell	RmrA_2603008502		284399	285505	-	False
41	RosmerTA	GCF_009914415.1_ASM991441v1	CTZ23_RS01080	shell	RmrA_2677172838		284399	285505	-	False
41	RosmerTA	GCF_009914415.1_ASM991441v1	CTZ23_RS01085	shell	RmrT_2641389401		285518	286228	-	False
41	RosmerTA	GCF_009914415.1_ASM991441v1	CTZ23_RS01085	shell	RmrT_2634932349		285518	286228	-	False
41	RosmerTA	GCF_009914475.1_ASM991447v1	CTZ23_RS01085	shell	RmrT_2641389401	GA693_RS11045	2227338	2228048	+	False
41	RosmerTA	GCF_009914475.1_ASM991447v1	CTZ23_RS01085	shell	RmrT_2634932349	GA693_RS11045	2227338	2228048	+	False
41	RosmerTA	GCF_009914475.1_ASM991447v1	CTZ23_RS01080	shell	RmrA_2623274509	GA693_RS11050	2228061	2229167	+	False
41	RosmerTA	GCF_009914475.1_ASM991447v1	CTZ23_RS01080	shell	RmrA_2617826694	GA693_RS11050	2228061	2229167	+	False
41	RosmerTA	GCF_009914475.1_ASM991447v1	CTZ23_RS01080	shell	RmrA_2585209417	GA693_RS11050	2228061	2229167	+	False
41	RosmerTA	GCF_009914475.1_ASM991447v1	CTZ23_RS01080	shell	RmrA_2676476075	GA693_RS11050	2228061	2229167	+	False
41	RosmerTA	GCF_009914475.1_ASM991447v1	CTZ23_RS01080	shell	RmrA_2634882613	GA693_RS11050	2228061	2229167	+	False
41	RosmerTA	GCF_009914475.1_ASM991447v1	CTZ23_RS01080	shell	RmrA_2641389401	GA693_RS11050	2228061	2229167	+	False
41	RosmerTA	GCF_009914475.1_ASM991447v1	CTZ23_RS01080	shell	RmrA_2662548665	GA693_RS11050	2228061	2229167	+	False
41	RosmerTA	GCF_009914475.1_ASM991447v1	CTZ23_RS01080	shell	RmrA_2753529055	GA693_RS11050	2228061	2229167	+	False
41	RosmerTA	GCF_009914475.1_ASM991447v1	CTZ23_RS01080	shell	RmrA_2600853143	GA693_RS11050	2228061	2229167	+	False
41	RosmerTA	GCF_009914475.1_ASM991447v1	CTZ23_RS01080	shell	RmrA_2734955840	GA693_RS11050	2228061	2229167	+	False
41	RosmerTA	GCF_009914475.1_ASM991447v1	CTZ23_RS01080	shell	RmrA_2634932349	GA693_RS11050	2228061	2229167	+	False
41	RosmerTA	GCF_009914475.1_ASM991447v1	CTZ23_RS01080	shell	RmrA_2664250653	GA693_RS11050	2228061	2229167	+	False
41	RosmerTA	GCF_009914475.1_ASM991447v1	CTZ23_RS01080	shell	RmrA_2603008502	GA693_RS11050	2228061	2229167	+	False
41	RosmerTA	GCF_009914475.1_ASM991447v1	CTZ23_RS01080	shell	RmrA_2677172838	GA693_RS11050	2228061	2229167	+	False
41	RosmerTA	GCF_009914475.1_ASM991447v1	FSC09_RS17485	shell	RmrA_2617826694	GA693_RS11105	2240033	2240335	+	False
41	RosmerTA	GCF_009914475.1_ASM991447v1	FSC09_RS17485	shell	RmrA_2634932349	GA693_RS11105	2240033	2240335	+	False
41	RosmerTA	GCF_009914475.1_ASM991447v1	FSC09_RS17485	shell	RmrA_2664250653	GA693_RS11105	2240033	2240335	+	False
41	RosmerTA	GCF_015217905.1_ASM1521790v1	G0027_RS16330	cloud	RmrA_2623274509		62359	62904	+	False
41	RosmerTA	GCF_015217905.1_ASM1521790v1	G0027_RS16330	cloud	RmrA_2617826694		62359	62904	+	False
41	RosmerTA	GCF_015217905.1_ASM1521790v1	G0027_RS16330	cloud	RmrA_2676476075		62359	62904	+	False
41	RosmerTA	GCF_015217905.1_ASM1521790v1	G0027_RS16330	cloud	RmrA_2662548665		62359	62904	+	False
41	RosmerTA	GCF_015217905.1_ASM1521790v1	G0027_RS16330	cloud	RmrA_2600853143		62359	62904	+	False
41	RosmerTA	GCF_015217905.1_ASM1521790v1	G0027_RS16330	cloud	RmrA_2634932349		62359	62904	+	False
41	RosmerTA	GCF_015217905.1_ASM1521790v1	G0027_RS16330	cloud	RmrA_2664250653		62359	62904	+	False
41	RosmerTA	GCF_015217905.1_ASM1521790v1	G0027_RS16330	cloud	RmrA_2603008502		62359	62904	+	False
41	RosmerTA	GCF_015217905.1_ASM1521790v1	G0027_RS16330	cloud	RmrA_2677172838		62359	62904	+	False
41	RosmerTA	GCF_015217905.1_ASM1521790v1	G0027_RS16330	cloud	RmrA_2585209417		62359	62904	+	False
41	RosmerTA	GCF_015217905.1_ASM1521790v1	FSC09_RS17485	shell	RmrA_2617826694		63792	64094	+	False
41	RosmerTA	GCF_015217905.1_ASM1521790v1	FSC09_RS17485	shell	RmrA_2634932349		63792	64094	+	False
41	RosmerTA	GCF_015217905.1_ASM1521790v1	FSC09_RS17485	shell	RmrA_2664250653		63792	64094	+	False
41	RosmerTA	GCF_015217905.1_ASM1521790v1	CTZ23_RS01080	shell	RmrA_2623274509		1993293	1994399	-	False
41	RosmerTA	GCF_015217905.1_ASM1521790v1	CTZ23_RS01080	shell	RmrA_2617826694		1993293	1994399	-	False
41	RosmerTA	GCF_015217905.1_ASM1521790v1	CTZ23_RS01080	shell	RmrA_2585209417		1993293	1994399	-	False
41	RosmerTA	GCF_015217905.1_ASM1521790v1	CTZ23_RS01080	shell	RmrA_2676476075		1993293	1994399	-	False
41	RosmerTA	GCF_015217905.1_ASM1521790v1	CTZ23_RS01080	shell	RmrA_2634882613		1993293	1994399	-	False
41	RosmerTA	GCF_015217905.1_ASM1521790v1	CTZ23_RS01080	shell	RmrA_2641389401		1993293	1994399	-	False
41	RosmerTA	GCF_015217905.1_ASM1521790v1	CTZ23_RS01080	shell	RmrA_2662548665		1993293	1994399	-	False
41	RosmerTA	GCF_015217905.1_ASM1521790v1	CTZ23_RS01080	shell	RmrA_2753529055		1993293	1994399	-	False
41	RosmerTA	GCF_015217905.1_ASM1521790v1	CTZ23_RS01080	shell	RmrA_2600853143		1993293	1994399	-	False
41	RosmerTA	GCF_015217905.1_ASM1521790v1	CTZ23_RS01080	shell	RmrA_2734955840		1993293	1994399	-	False
41	RosmerTA	GCF_015217905.1_ASM1521790v1	CTZ23_RS01080	shell	RmrA_2634932349		1993293	1994399	-	False
41	RosmerTA	GCF_015217905.1_ASM1521790v1	CTZ23_RS01080	shell	RmrA_2664250653		1993293	1994399	-	False
41	RosmerTA	GCF_015217905.1_ASM1521790v1	CTZ23_RS01080	shell	RmrA_2603008502		1993293	1994399	-	False
41	RosmerTA	GCF_015217905.1_ASM1521790v1	CTZ23_RS01080	shell	RmrA_2677172838		1993293	1994399	-	False
41	RosmerTA	GCF_015217905.1_ASM1521790v1	CTZ23_RS01085	shell	RmrT_2641389401		1994412	1995122	-	False
41	RosmerTA	GCF_015217905.1_ASM1521790v1	CTZ23_RS01085	shell	RmrT_2634932349		1994412	1995122	-	False
42	RosmerTA	GCF_017309425.1_ASM1730942v1	J0W32_RS05495	cloud	RmrT_2634932349		1160511	1161194	+	False
42	RosmerTA	GCF_017309425.1_ASM1730942v1	J0W32_RS05495	cloud	RmrT_2617826694		1160511	1161194	+	False
42	RosmerTA	GCF_017309425.1_ASM1730942v1	J0W32_RS05500	cloud	RmrA_2585209417		1161206	1162351	+	False
42	RosmerTA	GCF_017309425.1_ASM1730942v1	J0W32_RS05500	cloud	RmrA_2623274509		1161206	1162351	+	False
42	RosmerTA	GCF_017309425.1_ASM1730942v1	J0W32_RS05500	cloud	RmrA_2617826694		1161206	1162351	+	False
43	RosmerTA	GCF_002953575.2_ASM295357v2	GK020_RS01570	cloud	RmrT_2641389401		2840081	2840782	+	False
43	RosmerTA	GCF_002953575.2_ASM295357v2	GK020_RS01570	cloud	RmrT_2634932349		2840081	2840782	+	False
43	RosmerTA	GCF_002953575.2_ASM295357v2	GK020_RS01565	cloud	RmrA_2585209417		2840824	2841933	+	False
43	RosmerTA	GCF_002953575.2_ASM295357v2	GK020_RS01565	cloud	RmrA_2623274509		2840824	2841933	+	False
43	RosmerTA	GCF_002953575.2_ASM295357v2	GK020_RS01565	cloud	RmrA_2617826694		2840824	2841933	+	False
43	RosmerTA	GCF_009734145.1_ASM973414v1	GK020_RS01565	cloud	RmrA_2585209417		337530	338639	-	False
43	RosmerTA	GCF_009734145.1_ASM973414v1	GK020_RS01565	cloud	RmrA_2623274509		337530	338639	-	False
43	RosmerTA	GCF_009734145.1_ASM973414v1	GK020_RS01565	cloud	RmrA_2617826694		337530	338639	-	False
43	RosmerTA	GCF_009734145.1_ASM973414v1	GK020_RS01570	cloud	RmrT_2641389401		338681	339382	-	False
43	RosmerTA	GCF_009734145.1_ASM973414v1	GK020_RS01570	cloud	RmrT_2634932349		338681	339382	-	False
44	RosmerTA	GCF_009914375.1_ASM991437v1	GA636_RS13195	cloud	RmrT_2585209417		2739901	2740512	+	False
44	RosmerTA	GCF_009914375.1_ASM991437v1	GA636_RS13200	cloud	RmrA_2585209417		2740530	2741630	+	False
44	RosmerTA	GCF_009914375.1_ASM991437v1	GA636_RS13200	cloud	RmrA_2623274509		2740530	2741630	+	False
44	RosmerTA	GCF_009914375.1_ASM991437v1	GA636_RS13200	cloud	RmrA_2617826694		2740530	2741630	+	False
45	SspBCDE	GCF_013378115.1_ASM1337811v1	E5093_RS00615	cloud	SspB		135956	136861	+	False
45	SspBCDE	GCF_013378115.1_ASM1337811v1	E5093_RS00620	cloud	SspC		136854	140342	+	False
45	SspBCDE	GCF_013378115.1_ASM1337811v1	E5093_RS00625	cloud	SspD		140332	141204	+	False
46	Zorya_TypeI	GCF_015217905.1_ASM1521790v1	G0027_RS03270	cloud	ZorD		679289	682492	-	False
46	Zorya_TypeI	GCF_015217905.1_ASM1521790v1	G0027_RS03275	cloud	ZorC		682502	683917	-	False
46	Zorya_TypeI	GCF_015217905.1_ASM1521790v1	G0027_RS03280	cloud	ZorB		683923	684654	-	False
46	Zorya_TypeI	GCF_015217905.1_ASM1521790v1	G0027_RS03285	cloud	ZorA	zorA	684673	686733	-	False
46	Zorya_TypeI	GCF_015217905.1_ASM1521790v1	G0027_RS03285	cloud	ZorA2	zorA	684673	686733	-	False
47	BREX	GCF_009296145.1_ASM929614v1	GA636_RS14500	shell	pglZ2	pglZ	34366	36990	-	False
47	BREX	GCF_009296145.1_ASM929614v1	GA636_RS14500	shell	pglZA	pglZ	34366	36990	-	False
47	BREX	GCF_009296145.1_ASM929614v1	GA636_RS14500	shell	pglZB	pglZ	34366	36990	-	False
47	BREX	GCF_009296145.1_ASM929614v1	FHP22_RS15185	shell	pglX1	pglX	37034	40555	-	False
47	BREX	GCF_009296145.1_ASM929614v1	FHP22_RS15185	shell	pglX2	pglX	37034	40555	-	False
47	BREX	GCF_009296145.1_ASM929614v1	J0W32_RS14080	shell	brxC	brxC	40602	44282	-	False
47	BREX	GCF_009914375.1_ASM991437v1	GA636_RS14500	shell	pglZ2	pglZ	1	2625	+	False
47	BREX	GCF_009914375.1_ASM991437v1	GA636_RS14500	shell	pglZA	pglZ	1	2625	+	False
47	BREX	GCF_009914375.1_ASM991437v1	GA636_RS14500	shell	pglZB	pglZ	1	2625	+	False
47	BREX	GCF_009914375.1_ASM991437v1	J0W32_RS14080	shell	brxC	brxC	96338	100018	+	False
47	BREX	GCF_009914375.1_ASM991437v1	FHP22_RS15185	shell	pglX1	pglX	100065	103586	+	False
47	BREX	GCF_009914375.1_ASM991437v1	FHP22_RS15185	shell	pglX2	pglX	100065	103586	+	False
47	BREX	GCF_009914395.1_ASM991439v1	GA636_RS14500	shell	pglZ2	pglZ	1	2625	+	False
47	BREX	GCF_009914395.1_ASM991439v1	GA636_RS14500	shell	pglZA	pglZ	1	2625	+	False
47	BREX	GCF_009914395.1_ASM991439v1	GA636_RS14500	shell	pglZB	pglZ	1	2625	+	False
