PUL_ID,PubMed,Characterization_Method,Genomic_Accession,Nucleotide_Position_Range,Substrate,Loci,Species,Degradation_or_Biosynthesis
PUL0207,19416976,"enzyme activity assay,RT-PCR",NC_004368.1,-,host glycan,GBS_RS09825-GBS_RS09855,Streptococcus agalactiae NEM316/1311,degradation
PUL0208,10220172,"growth assay,clone and expression,enzyme activity assay",AH007017.2,-,chitin,chiABC,Pseudoalteromonas luteoviolacea/43657,degradation
PUL0209,17644603,"enzyme activity assay,gene deletion mutant and growth assay",CP002038.1,-,galactan,ganR-ganK,Dickeya dadantii/204038,degradation
PUL0210,25605731,enzyme activity assay,NC_008261.1,-,host glycan,CPF_RS01980-CPF_RS02040,Clostridium perfringens/1502,degradation
PUL0211,25205095,"enzyme activity assay,gene deletion mutant and growth assay,thin-layer chromatography",AE008922.1,-,host glycan,XCC2887-XCC2895,Xanthomonas campestris pv. campestris/340,degradation
PUL0212,25483279,qRT-PCR,NC_008618.1,-,galactooligosaccharide,BAD_RS08320- BAD_RS08355,Bifidobacterium adolescentis/1680,degradation
PUL0213,25483279,qRT-PCR,NC_008618.1,-,galactooligosaccharide,BAD_RS08450-BAD_RS08465,Bifidobacterium adolescentis/1680,degradation
PUL0214,25483279,qRT-PCR,NC_008618.1,-,galactooligosaccharide,BAD_RS07390-BAD_RS07430,Bifidobacterium adolescentis/1680,degradation
PUL0215,25171165,"qPCR,enzyme activity assay",NC_010995.1,-,xyloglucan,CJA_RS13075-CJA_RS13090,Cellvibrio japonicus/155077,degradation
PUL0216,24816607,"Western Blot,enzyme activity assay,RT-PCR,microarray",AB011415.1,-,alginate,aly-algOSM1M2Q1Q2,Sphingomonas sp./28214,degradation
PUL0217,25342756,RNA-seq,NZ_KE386494.1,-,galactomannan,CALPO_RS0106040-CALPO_RS0106070,Caldanaerobius polysaccharolyticus/44256,degradation
PUL0218,25304507,enzyme activity assay,HF548278.1,-,arabinan,BN138_163-BN138_186,termite gut metagenome/433724,degradation
PUL0219,17644636,"sugar utilization assay,enzyme activity assay",DQ396803.1,-,fructan,fosABCDXE,Lactobacillus paracasei/1597,degradation
PUL0220,25478683,"mass spectrometry,target decoy database analysis",JPDI01000001.1,-,beta-glucan,PHEL49_2075-PHEL49_2085,Polaribacter sp. Hel1_33_49/1336803,degradation
PUL0221,24223817,fosmid library screen,KC246798.1,-,cellulose,AHF24576.1-AHF24585.1,uncultured bacterium Contig1529/1393449,degradation
PUL0222,24223817,fosmid library screen,KC246824.1,-,cellulose,AHF25220.1-AHF25226.1,uncultured bacterium Contig196/1393527,degradation
PUL0223,-,-,-,-,-,-,-,-
PUL0224,20013800,"RT-PCR,qRT-PCR,ion trap liquid chromatography,mass spectrometry,target decoy database analysis,high-performance anion-exchange chromatography",NC_011898.1,-,cellulose,CCEL_RS06150-CCEL_RS06225,Ruminiclostridium cellulolyticum/1521,degradation
PUL0225,23150581,RT-PCR,NZ_DS990130.1,-,agarose,BACPLE_RS08560-BACPLE_RS08735,Bacteroides plebeius/310297,degradation
PUL0226,-,-,-,-,-,-,-,-
PUL0227,22918832,"enzyme activity assay,substrate binding assay",JX087428.1,-,xylan,AFM44648.1-AFM44659.1,Caldanaerobius polysaccharolyticus/44256,degradation
PUL0228,-,-,-,-,-,-,-,-
PUL0229,17921311,RT-PCR,EU024644.1,-,xylan,yesN-yesM-lplA-lplB-ytcP-arguA-xynA2-xynB,Paenibacillus sp. JDR-2/324057,degradation
PUL0230,32444471,"RT-PCR,enzyme activity assay,clone,enzyme kinetic analysis,thin-layer chromatography,crystallization",CP000033.3,-,starch,LBA1864-LBA1874,Lactobacillus acidophilus/1579,degradation
PUL0231,22502871,"enzyme activity assay,cosmid library screening",AY870655.1,-,beta-glucoside,bglYK,Pectobacterium carotovorum subsp. carotovorum/555,degradation
PUL0232,24705323,"microarray,electrophoretic mobility shift assay",CP000303.1,-,raffinose,bbr_1865-bbr_1870,Bifidobacterium breve/1685,degradation
PUL0233,24705323,"microarray,electrophoretic mobility shift assay",CP000303.1,-,melicitose,bbr_1856-bbr_1860,Bifidobacterium breve/1685,degradation
PUL0234,24522261,"proteome fractionation,mass spectrometry,target decoy database analysis",CU207366.1,-,beta-glucan,GFO_3462-GFO_3468,Gramella forsetii/411153,degradation
PUL0235,24522261,"proteome fractionation,mass spectrometry,target decoy database analysis",CU207366.1,-,alginate,GFO_1145-GFO_1164,Gramella forsetii/411153,degradation
PUL0236,24522261,"proteome fractionation,mass spectrometry,target decoy database analysis",CU207366.1,-,alpha-glucan,GFO_2129-GFO_2141,Gramella forsetii/411153,degradation
PUL0237,-,-,-,-,-,-,-,-
PUL0238,18177310,Northern Blot,NC_000964.3,-,glucomannan,gmuBACDREFG,Bacillus subtilis/1423,degradation
PUL0239,24448980,"fosmid library screen,sequence homology analysis",JX424618,-,cellulose,AGH13958.1-AGH13973.1,Prevotella sp. Sc00026/1231727,degradation
PUL0240,24448980,"fosmid library screen,sequence homology analysis",JX424621,-,cellulose,AGH14016.1-AGH14025.1,Prevotella sp. Sc00028/1231728,degradation
PUL0241,24448980,"fosmid library screen,sequence homology analysis",JX424622,-,cellulose,AGH14043.1-AGH14049.1,Prevotella sp. Sc00033/1231729,degradation
PUL0242,24448980,"fosmid library screen,sequence homology analysis",JX424627,-,cellulose,AGH14097.1-AGH14104.1,Prevotella sp. Sc00044/1231730,degradation
PUL0243,24448980,"fosmid library screen,sequence homology analysis",JX424628,-,cellulose,AGH14126.1-AGH14137.1,Prevotella sp. Sc00066/1231731,degradation
PUL0244,24351045,"gene deletion mutant and growth assay,complementation study,carbohydrate binding assay",JUET01000139.1,-,host glycan,TAnf_13685-Tanf_13725,Tannerella forsythia/28112,degradation
PUL0245,24333485,"enzyme activity assay,gene deletion mutant and growth assay,Western Blot",AE005672.3,-,fucose,SP_2158-SP_2168,Streptococcus pneumoniae/1313,degradation
PUL0246,24333485,"enzyme activity assay,gene deletion mutant and growth assay,Western Blot",AAZZ01000003.1,-,fucose,CGSSp3BS71_10393-CGSSp3BS71_10443,Streptococcus pneumoniae/1313,degradation
PUL0247,-,-,-,-,-,-,-,-
PUL0248,24102883,sequence homology analysis,AE016795.3,-,capsule polysaccharide degradation,VV1_0774-VV1_0786,Vibrio vulnificus/672,degradation
PUL0249,17449691,microarray,NC_000964.3,-,pectin,BSU06970-BSU07080,Bacillus subtilis/1423,degradation
PUL0250,-,-,-,-,-,-,-,-
PUL0251,23996813,gene chips,AE015928.1,-,host glycan,BT_4294-BT_4300,Bacteroides thetaiotaomicron/818,degradation
PUL0252,23996813,gene chips,AE015928.1,-,mucin,BT_4132-BT_4137,Bacteroides thetaiotaomicron/818,degradation
PUL0253,-,-,-,-,-,-,-,-
PUL0254,-,-,-,-,-,-,-,-
PUL0255,-,-,-,-,-,-,-,-
PUL0256,-,-,-,-,-,-,-,-
PUL0257,-,-,-,-,-,-,-,-
PUL0258,-,-,-,-,-,-,-,-
PUL0259,-,-,-,-,-,-,-,-
PUL0260,-,-,-,-,-,-,-,-
PUL0261,-,-,-,-,-,-,-,-
PUL0262,23976882,RNA-seq,CP012801.1,-,xylan,BcellWH2_04296-BcellWH2_04307,Bacteroides cellulosilyticus/246787,degradation
PUL0263,30674645,RNA-seq,CP012801.1,-,xylan,BcellWH2_04323-BcellWH2_04327,Bacteroides cellulosilyticus/246787,degradation
PUL0264,31886414,RNA-seq,NZ_SEUH01000010.1,-,carrageenan,EU511_RS08670-EU511_RS08810,Pseudoalteromonas distincta/77608,degradation
PUL0265,7730272,"enzyme activity assay,gene deletion mutant and growth assay",X78853.1,-,starch,CAA55408.1-CAA55409.1,Staphylococcus xylosus/1288,degradation
PUL0266,23320757,enzyme activity assay,NC_012028.1,-,human milk oligosaccharide,HLAC_RS14125-HLAC_RS14200,Halorubrum lacusprofundi/2247,degradation
PUL0267,23879596,RT-qPCR,CP000033.3,-,glycogen,LBA0679-LBA0688,Lactobacillus acidophilus/1579,biosynthesis
PUL0268,23793634,"Northern Blot,promoter assay",BA000043.1,-,starch,GK0704-GK0708,Geobacillus kaustophilus/1462,degradation
PUL0269,23674154,RT-PCR,NC_017943.1,-,chitin,HFX_RS15565-HFX_RS15635,Haloferax mediterranei/2252,degradation
PUL0270,-,-,-,-,-,-,-,-
PUL0271,23663691,RT-qPCR,CP001515.1,-,gentiobiose,balac_0052-balac_0055,Bifidobacterium animalis subsp. lactis/302911,degradation
PUL0272,23663691,RT-qPCR,CP001515.1,-,beta-galactooligosaccharide,balac_0475-balac_0477,Bifidobacterium animalis subsp. lactis/302911,degradation
PUL0273,23663691,RT-qPCR,CP001515.1,-,beta-galactooligosaccharide,balac_0483-balac_0487,Bifidobacterium animalis subsp. lactis/302911,degradation
PUL0274,23663691,RT-qPCR,CP001515.1,-,xylan,balac_0511-balac_0522,Bifidobacterium animalis subsp. lactis/302911,degradation
PUL0275,23663691,RT-qPCR,CP001515.1,-,starch,balac_1566-balac_1573,Bifidobacterium animalis subsp. lactis/302911,degradation
PUL0276,23663691,RT-qPCR,CP001515.1,-,starch,balac_1593-balac_1601,Bifidobacterium animalis subsp. lactis/302911,degradation
PUL0277,23264576,"gene deletion mutant and growth assay,qRT-PCR",AE005672.3,-,fructan,SP_1721-SP_1725,Streptococcus pneumoniae/1313,degradation
PUL0278,23264576,"gene deletion mutant and growth assay,qRT-PCR",AE005672.3,-,fructan,SP_1795-SP_1800,Streptococcus pneumoniae/1313,degradation
PUL0279,23264576,"gene deletion mutant and growth assay,qRT-PCR",CP000410.2,-,fructan,SPD_1582-SPD_1587,Streptococcus pneumoniae/1313,degradation
PUL0280,-,-,-,-,-,-,-,-
PUL0281,-,-,-,-,-,-,-,-
PUL0282,23216604,enzyme activity assay,JF327803.1,-,galactan,AEH26451.1-AEH26457.1,Geobacillus stearothermophilus/1422,degradation
PUL0283,23199239,"microarray,high-performance anion-exchange chromatography,liquid chromatography and mass spectrometry",CP000303.1,-,galactooligosaccharide,bbr_0417-bbr_0422,Bifidobacterium breve/1685,degradation
PUL0284,23199239,"microarray,high-performance anion-exchange chromatography,liquid chromatography and mass spectrometry",CP000303.1,-,galactan,bbr_1551-bbr_1553,Bifidobacterium breve/1685,degradation
PUL0285,23199239,"microarray,high-performance anion-exchange chromatography,liquid chromatography and mass spectrometry",CP000303.1,-,galactooligosaccharide,bbr_0526-bbr_0530,Bifidobacterium breve/1685,degradation
PUL0286,-,-,-,-,-,-,-,-
PUL0287,-,-,-,-,-,-,-,-
PUL0288,-,-,-,-,-,-,-,-
PUL0289,29588659,enzyme activity assay,CP000685.1,-,xylan,Fjoh_3871-Fjoh_3882,Flavobacterium johnsoniae/986,degradation
PUL0290,-,-,-,-,-,-,-,-
PUL0291,29453395,"electrophoretic mobility shift assay,qPCR",CP014225.1,-,human milk oligosaccharide,ompL- yihO- yihP- yihQ- yihR- yihS- yihT- yihU- yihV- yihW+,Escherichia coli/562,degradation
PUL0292,18671744,enzyme activity assay,EU599185.1,-,chitin,ACF93782.1-ACF93795.1,Collimonas fungivorans/158899,degradation
PUL0293,-,-,-,-,-,-,-,-
PUL0294,29310579,gene trait matching exercise,PJEE01000011.1,-,xylan,APC1464_1419-APC1464_1430,Bifidobacterium longum/216816,degradation
PUL0295,29310579,gene trait matching exercise,NZ_PJEF01000016.1,-,arabinan,APC1462_RS10100-APC1462_RS10145,Bifidobacterium longum/216816,degradation
PUL0296,29310579,gene trait matching exercise,PJDT01000028.1,-,arabinan,APC1503_1956-APC1503_1959,Bifidobacterium longum/216816,degradation
PUL0297,29310579,gene trait matching exercise,NZ_PJEG01000006.1,-,galactan,APC1461_RS02130-APC1461_RS0270,Bifidobacterium longum/216816,degradation
PUL0298,29310579,gene trait matching exercise,NZ_PJEE01000001.1,-,galactan,APC1464_RS01880-APC1464_RS01930,Bifidobacterium longum/216816,degradation
PUL0299,29310579,gene trait matching exercise,NZ_PJDX01000003.1,-,human milk oligosaccharide,APC1477_RS01575-APC1477_RS01635,Bifidobacterium longum/216816,degradation
PUL0300,29310579,gene trait matching exercise,NZ_PJDO01000018.1,-,arabinoxylan,DPC6321_RS09575-DPC6321_RS09635,Bifidobacterium longum/216816,degradation
PUL0301,-,-,-,-,-,-,-,-
PUL0302,21339299,"RT-qPCR,isothermal titration calorimetry (ITC),enzyme activity assay,gene deletion mutant and growth assay,high-performance anion-exchange chromatography",AE015928.1,-,arabinan,BT_0348-BT_0369,Bacteroides thetaiotaomicron/818,degradation
PUL0303,18671744,enzyme activity assay,EU599184.1,-,chitin,ACF93773.1-ACF93781.1,Collimonas fungivorans/158899,degradation
PUL0304,29255254,"RT-qPCR,isothermal titration calorimetry (ITC),enzyme activity assay,gene deletion mutant and growth assay",AE015928.1,-,galactan,BT_4667-BT_4673,Bacteroides thetaiotaomicron/818,degradation
PUL0305,29255254,"RT-qPCR,isothermal titration calorimetry (ITC),enzyme activity assay,gene deletion mutant and growth assay",AE015928.1,-,pectin,BT_4108-BT_4124; (GH105+ CE8+ CE8+ HTCS+ SGBP- SusD-like- SusC-like- PL1- PL1- HP+ HP+ PL1+ HP+ SusC-ilke+ SusD-like+ GH28+ HTCS-),Bacteroides thetaiotaomicron/818,degradation
PUL0306,29255254,"RT-qPCR,isothermal titration calorimetry (ITC),enzyme activity assay,gene deletion mutant and growth assay",NZ_DS264584.1,-,pectin,BACOVA_05487-BACOVA_05495; (-GH2- GH52- SGBP- SusD-like- SusC-like- HP- GH-HTCS-),Bacteroides ovatus/28116,degradation
PUL0307,8757722,enzyme activity assay,NZ_HG326223.1,-,chitin,SMDB11_RS14210-SMDB11_RS14230;,Serratia marcescens subsp. marcescens/615,degradation
PUL0308,-,-,-,-,-,-,-,-
PUL0309,28710263,"enzyme activity assay,substrate binding assay,isothermal titration calorimetry (ITC)",NZ_KE386494.1,-,arabinan,CALPO_RS0104485-CALPO_RS0104540,Caldanaerobius polysaccharolyticus/44256,degradation
PUL0310,-,-,-,-,-,-,-,-
PUL0311,31455320,enzyme activity assay,HG738867.1,-,cellulose,bcsABZC,Escherichia coli/562,degradation
PUL0312,19139238,RT-PCR,L41732.5,-,starch,lsdAB,Gluconacetobacter diazotrophicus/33996,degradation
PUL0313,32585009,"microarray,Northern Blot,RT-qPCR,electrophoretic mobility shift assay,clone and expression,gene deletion mutant and growth assay",FP476056.1,-,alginate,ZOBELLIA_4130-ZOBELLIA_4132,Zobellia galactanivorans/63186,degradation
PUL0314,28983288,microarray,FP476056.1,-,beta-glucan,ZOBELLIA_2987-ZOBELLIA_2991,Zobellia galactanivorans/63186,degradation
PUL0315,28983288,microarray,FP476056.1,-,agarose,ZOBELLIA_3570-ZOBELLIA_3573,Zobellia galactanivorans/63186,degradation
PUL0316,28983288,microarray,FP476056.1,-,agarose,ZOBELLIA_4655-ZOBELLIA_4669,Zobellia galactanivorans/63186,degradation
PUL0317,28983288,microarray,FP476056.1,-,agarose,ZOBELLIA_4201-ZOBELLIA_4203,Zobellia galactanivorans/63186,degradation
PUL0318,28983288,microarray,FP476056.1,-,carrageenan,ZOBELLIA_234-ZOBELLIA_236,Zobellia galactanivorans/63186,degradation
PUL0319,28983288,microarray,FP476056.1,-,carrageenan,ZOBELLIA_2985-ZOBELLIA_2988,Zobellia galactanivorans/63186,degradation
PUL0320,21227922,"liquid chromatography and mass spectrometry,mass spectrometry,target decoy database analysis",CP001393.1,-,cellulose,Athe_1853-Athe_1871,Caldicellulosiruptor bescii/31899,degradation
PUL0321,19233952,"enzyme activity assay,transposon mutagenesis",NC_007946.1,-,beta-glucoside,bgcAHIFER,Escherichia coli/562,degradation
PUL0322,29475869,liquid chromatography and mass spectrometry,NZ_LACM01000001.1,-,cellulose,N913_RS14400-N913_RS10105,Caldicellulosiruptor danielii/1387557,degradation
PUL0323,28617843,"fitness contribution assay,insertion sequencing",NZ_CP034484.1,-,galactan,ganB- ganA- ganQ- ganP- ganS- ganR,Bacillus subtilis subsp. subtilis/135461,degradation
PUL0324,-,-,-,-,-,-,-,-
PUL0325,28461332,"RT-PCR,enzyme activity assay",AE015928.1,-,beta-glucan,BT_3309-BT_3314,Bacteroides thetaiotaomicron/818,degradation
PUL0326,28461332,"gene deletion mutant and growth assay,enzyme activity assay,thin-layer chromatography",DS264584.1,-,beta-glucan,BACOVA_RS10410- BACOVA_00946,Bacteroides ovatus/28116,degradation
PUL0327,32680872,"microarray,gas chromatography,mass spectrometry,gene deletion mutant and growth assay,complementation study",NZ_CAWH010000143.1,-,starch,mmgt-gmdH-mmdH-mdxE-mdxF-mdxG,Enterococcus faecalis/1351,degradation
PUL0328,28261179,"microarray,gas chromatography,mass spectrometry",CP016359.1,-,xylan,GRFL_0296-GRFL_0304,Gramella flava/1486245,degradation
PUL0329,28261179,"microarray,gas chromatography,mass spectrometry",CP016359.1,-,xylan,GRFL_0317-GRFL_0341,Gramella flava/1486245,degradation
PUL0330,30341080,"fosmid library screen,enzyme activity assay,thin-layer chromatography",CP016359.1,-,pectin,GRFL_2155-GRFL_2182,Gramella flava/1486245,degradation
PUL0331,18487409,carbon utilization assay,NC_006840.2,-,cellobiose,celCBGKAI,Aliivibrio fischeri/668,degradation
PUL0332,28091525,"fosmid library screen,enzyme activity assay,thin-layer chromatography",LT674122,-,beta-glucan,SIP56247.1-SIP56265.1,uncultured bacterium/77133,degradation
PUL0333,28091525,"fosmid library screen,enzyme activity assay,thin-layer chromatography",LT674123,-,beta-glucan,SIP56266.1-SIP56287.1,uncultured bacterium/77133,degradation
PUL0334,28091525,"fosmid library screen,enzyme activity assay,thin-layer chromatography",LT674124,-,beta-glucan,SIP56288.1-SIP56310.1,uncultured bacterium/77133,degradation
PUL0335,28091525,"fosmid library screen,enzyme activity assay,thin-layer chromatography",LT674125,-,xylan,SIP56311.1-SIP56341.1,uncultured bacterium/77133,degradation
PUL0336,28091525,"fosmid library screen,enzyme activity assay,thin-layer chromatography",LT674126,-,xylan,SIP56342.1-SIP56366.1,uncultured bacterium/77133,degradation
PUL0337,28091525,"fosmid library screen,enzyme activity assay,thin-layer chromatography",LT674127,-,xylan,SIP56367.1-SIP56395.1,uncultured bacterium/77133,degradation
PUL0338,28091525,"fosmid library screen,enzyme activity assay,thin-layer chromatography",LT674128,-,xylan,SIP56396.1-SIP56429.1,uncultured bacterium/77133,degradation
PUL0339,28091525,"fosmid library screen,enzyme activity assay,thin-layer chromatography",LT674129,-,xylan,SIP56430.1-SIP56453.1,uncultured bacterium/77133,degradation
PUL0340,28091525,"fosmid library screen,enzyme activity assay,thin-layer chromatography",LT674130,-,beta-glucan,SIP56454.1-SIP56490.1,uncultured bacterium/77133,degradation
PUL0341,28091525,"fosmid library screen,enzyme activity assay,thin-layer chromatography",LT674131,-,beta-glucan,SIP56491.1-SIP56533.1,uncultured bacterium/77133,degradation
PUL0342,19304844,"enzyme activity assay,gene deletion mutant and growth assay",NC_014033.1,-,xylan,PRU_RS13995-PRU_RS14015,Prevotella ruminicola/839,degradation
PUL0343,28091525,"gene deletion mutant and growth assay,enzyme activity assay,Western Blot,isothermal titration calorimetry (ITC)",LT674132,-,beta-glucan,SIP56534.1-SIP56572.1,uncultured bacterium/77133,degradation
PUL0344,19717629,"gene deletion mutant and growth assay,protein structure characterization",CP000685.1,-,chitin,Fjoh_4555-Fjoh_4565,Flavobacterium johnsoniae/986,degradation
PUL0345,27681607,"qRT-PCR,enzyme activity assay",ABJL02000008.1,-,xylan,BACINT_04193-BACINT_04223,Bacteroides intestinalis/329854,degradation
PUL0346,27573446,gene deletion mutant and growth assay,HE717017.1,-,xylan,CCG34969.1-CCG34983.1,uncultured bacterium/77133,degradation
PUL0347,24581150,"gene deletion mutant and growth assay,RT-PCR",CP006712.1,-,starch,B7017_1838-B7017-1850,Bifidobacterium breve/1685,degradation
PUL0348,22449996,enzyme activity assay,AP006841.1,-,host glycan,BF1729-BF1741,Bacteroides fragilis/817,degradation
PUL0349,22230464,microarray,NC_013192.1,-,starch,LEBU_RS07530-LEBU_RS07540,Leptotrichia buccalis/40542,degradation
PUL0350,-,-,-,-,-,-,-,-
PUL0351,1435727,enzyme activity assay,X81461.2,-,starch,cscRAKB,Escherichia coli/562,degradation
PUL0352,16968696,microarray,AE015928.1,-,host glycan,BT_1617-BT_1622,Bacteroides thetaiotaomicron/818,degradation
PUL0353,-,-,-,-,-,-,-,-
PUL0354,16968696,microarray,AE015928.1,-,human milk oligosaccharide,BT_2892-BT_2899,Bacteroides thetaiotaomicron/818,degradation
PUL0355,-,-,-,-,-,-,-,-
PUL0356,16968696,microarray,AE015928.1,-,human milk oligosaccharide,BT_4705-BT_4712,Bacteroides thetaiotaomicron/818,degradation
PUL0357,16968696,microarray,AE015928.1,-,host glycan,BT_0865-BT_0867,Bacteroides thetaiotaomicron/818,degradation
PUL0358,-,-,-,-,-,-,-,-
PUL0359,-,-,-,-,-,-,-,-
PUL0360,-,-,-,-,-,-,-,-
PUL0361,10972187,enzyme activity assay,CP007013.1,-,starch,THEMA_05005-THEMA_05030,Thermotoga maritima/2336,degradation
PUL0362,17311090,enzyme activity assay,AE008922.1,-,starch,XCC3356-XCC3359,Xanthomonas campestris pv. campestris/340,degradation
PUL0363,17311090,enzyme activity assay,AE008922.1,-,pectin,XCC0120-XCC0122,Xanthomonas campestris pv. campestris/340,degradation
PUL0364,17311090,enzyme activity assay,AE008922.1,-,xylan,XCC4115-XCC4122,Xanthomonas campestris pv. campestris/340,degradation
PUL0365,17311090,RT-PCR,AE008922.1,-,starch,XCC2464-XCC2471,Xanthomonas campestris pv. campestris/340,degradation
PUL0366,10931310,RT-PCR,AF228498.1,-,glycosaminoglycan,agaR-kbaZ-agaVWEFAS-kbaY-agaBCDEI,Escherichia coli/562,degradation
PUL0367,18539808,mass spectrometry,AE014295.3,-,galactooligosaccharide,BL0259-BL0261,Bifidobacterium longum/216816,degradation
PUL0368,19033196,"microarray,Western Blot",CP001095.1,-,human milk oligosaccharide,Blon_2332-Blon_2361,Bifidobacterium longum subsp. infantis/1682,degradation
PUL0369,-,-,-,-,-,-,-,-
PUL0370,19628558,RT-PCR,AP009044.1,-,beta-glucoside,Cgr_2727-Cgr_2729,Corynebacterium glutamicum/1718,degradation
PUL0371,11489857,enzyme activity assay,AB034969.2,-,starch,cgtBACDE,Thermococcus sp. B1001/91619,degradation
PUL0372,19628558,enzyme activity assay,AP009044.1,-,beta-glucoside,Cgr_2608-Cgr_2610,Corynebacterium glutamicum/1718,degradation
PUL0373,19734309,enzyme activity assay,CP002038.1,-,starch,scrKYABR,Dickeya dadantii/204038,degradation
PUL0374,19734309,"microarray,qPCR",CP002038.1,-,melibiose,rafRAB,Dickeya dadantii/204038,degradation
PUL0375,-,-,-,-,-,-,-,-
PUL0376,18996345,"microarray,qPCR",AE015928.1,-,mucin,BT_2818-BT_2826,Bacteroides thetaiotaomicron/818,degradation
PUL0377,30262663,"microarray,qPCR,enzyme activity assay",AE015928.1,-,glycosaminoglycan,BT_3324-BT_3350,Bacteroides thetaiotaomicron/818,degradation
PUL0378,-,-,-,-,-,-,-,-
PUL0379,-,-,-,-,-,-,-,-
PUL0380,32060313,"microarray,qPCR,microarray,enzyme activity assay,strcutural analysis,clone and expression",AE015928.1,-,mucin,BT_3983-BT_3994,Bacteroides thetaiotaomicron/818,degradation
PUL0381,14983042,"microarray,gene deletion mutant and growth assay",NC_002505.1,-,chitin,VC1280-VC1286,Vibrio cholerae/666,degradation
PUL0382,18996345,"microarray,qPCR",AE015928.1,-,mucin,BT_4240-BT_4250,Bacteroides thetaiotaomicron/818,degradation
PUL0383,18996345,"microarray,qPCR",AE015928.1,-,mucin,BT_4355-BT_4359,Bacteroides thetaiotaomicron/818,degradation
PUL0384,18996345,"microarray,qPCR",AE015928.1,-,glycosaminoglycan,BT_4652-BT_4663,Bacteroides thetaiotaomicron/818,degradation
PUL0385,8936327,"ion trap liquid chromatography,mass spectrometry,target decoy database analysis,high-performance anion-exchange chromatography",NC_011898.1,-,cellulose,CCEL_RS03695-CCEL_RS03750,Ruminiclostridium cellulolyticum/1521,degradation
PUL0386,-,-,-,-,-,-,-,-
PUL0387,20081036,"gene deletion mutant and growth assay,qRT-PCR,GlcNAc phosphorylation assays",NC_003902.1,-,glycosaminoglycan,XCC3408-XCC3414,Xanthomonas campestris pv. campestris/340,degradation
PUL0388,-,-,-,-,-,-,-,-
PUL0389,-,-,-,-,-,-,-,-
PUL0390,21255309,enzyme activity assay,NC_000853.1,-,xylan,TM0055-TM0077,Thermotoga maritima/2336,degradation
PUL0391,-,-,-,-,-,-,-,-
PUL0392,27142817,"RT-PCR,qPCR",FP929033.1,-,xylan,BXY_46530-BXY_46630,Bacteroides xylanisolvens/371601,degradation
PUL0393,20686828,"enzyme activity assay,analysis of reaction products",AB516430,-,galactan,BAK08901.1-BAK08910.1,Microbulbifer thermotolerans/252514,degradation
PUL0394,20679207,microarray,GU591787.1,-,fructan,ADF57363.1-ADF57368.1,Roseburia inulinivorans/360807,degradation
PUL0395,21460081,"isothermal calorimetric titration,electrophoretic mobility shift assay,Northern Blot",DQ868502,-,arabinan,ACE73663.1-ACE73687.1,Geobacillus stearothermophilus/1422,degradation
PUL0396,21478317,gene deletion mutant and growth assay,AM260479.1,-,glycosaminoglycan,H16_A0310-H16_A0316,Cupriavidus necator/106590,degradation
PUL0397,21762219,gene deletion mutant and growth assay,CP002113.1,-,glycosaminoglycan,Ccan_08700–Ccan_08740,Capnocytophaga canimorsus/28188,degradation
PUL0398,25736888,gene deletion mutant and growth assay,CP002113.1,-,mucin,Ccan_17420-Ccan_17500,Capnocytophaga canimorsus/28188,degradation
PUL0399,22006318,microarray,CP000033.3,-,beta-galactooligosaccharide,LBA1457-LBA1469,Lactobacillus acidophilus/1579,degradation
PUL0400,30116038,"RT-qPCR,RNA-seq",CABDWQ010000001.1,-,alginate,ALT831_00941-ALT831_00954,Alteromonas macleodii/28108,degradation
PUL0401,30116038,RNA-seq,CABDWQ010000001.1,-,beta-glucan,ALT831_03772-ALT831_03780,Alteromonas macleodii/28108,degradation
PUL0402,11282589,"Northern Blot,enzyme activity assay",AP012281,-,xylan,lilo_1425-lilo_1430,Lactococcus lactis subsp. lactis IO-1/1046624,degradation
PUL0403,30116038,RNA-seq,CABDWQ010000001.1,-,beta-glucan,ALT831_04037-ALT831_04040,Alteromonas macleodii/28108,degradation
PUL0404,30116038,RNA-seq,CABDWQ010000001.1,-,pectin,ALT831_02415-ALT831_02432,Alteromonas macleodii/28108,degradation
PUL0405,30116038,RNA-seq,CABDWQ010000001.1,-,pectin,ALT831_03876-ALT831_03879,Alteromonas macleodii/28108,degradation
PUL0406,30315317,high-performance anion-exchange chromatography,NZ_PXJC01000002.1,-,beta-glucan,DCP27_RS03160-DCP27_RS03265,Coprothermobacter proteolyticus/35786,degradation
PUL0407,9066115,"primer extension analysis,enzyme activity assay",EU670680.1,-,human milk oligosaccharide,lacTEGF,Lactobacillus casei/1582,degradation
PUL0408,24217874,"enzyme activity assay,thin-layer chromatography",CR626927.1,-,beta-mannan,BF9343_0736-BF9343_0739,Bacteroides fragilis/817,degradation
PUL0409,-,-,-,-,-,-,-,-
PUL0410,21545489,RT-qPCR,AOMX01000002.1,-,host glycan,H260_21035-H260_21065,Escherichia coli/562,degradation
PUL0411,7487028,enzyme activity assay,Z49241.1,-,xylan,XynAB,Prevotella bryantii/77095,degradation
PUL0412,12795379,"clone and expression,enzyme activity assay",AF417111,-,pectin,pheC-euxT,Ralstonia solanacearum/305,degradation
PUL0413,30116044,"enzyme activity assay,reducing-sugar assay",JQ844187.1,-,cellobiose,AGS52250.1-AGS52280.1,uncultured bacterium contig00059/1181542,degradation
PUL0414,30116044,"enzyme activity assay,thin-layer chromatography",JN903693.1,-,xylan,AFK83720.1-AFK83745.1,uncultured bacterium 35A20/1194347,degradation
