=== PUL0003 ===
  NP_389697.1     | CAZyme             | GH30
  WP_012025838.1  | CAZyme             | GH3
  WP_012025839.1  | TF                 | 0035607
  WP_012025840.1  | Transporter        | SusC
  WP_012025841.1  | Transporter        | SusD
  WP_012025842.1  | Other              | IPT/TIG domain-containing protein [Flavobacterium johnsoniae]
  WP_012025843.1  | CAZyme             | GH10
  WP_012025844.1  | CAZyme             | GH16
  WP_012025845.1  | CAZyme             | GH8
  WP_012025846.1  | CAZyme             | GH43
=== PUL0508 ===
  BAD02385.1      | TF                 | LacI
  BAD02386.1      | STP                | SBP_bac_1
  BAD02387.1      | Transporter        | 3.A.1.1.21
  BAD02388.1      | Transporter        | 3.A.1.1.44
  BAD02389.1      | CAZyme             | GH3
=== PUL0520 ===
  AAQ62863.1      | Transporter        | 2.A.2.3.2
  AAQ62864.1      | CAZyme             | GH43
=== PUL0533 ===
  ALJ58214.1      | TF                 | 0036286
  ALJ58215.1      | CAZyme             | GH115
  ALJ58216.1      | Transporter        | SusC
  ALJ58217.1      | Transporter        | SusD
  ALJ58218.1      | Transporter        | SusC
  ALJ58219.1      | Transporter        | SusD
  ALJ58220.1      | Hypothetical       | hypothetical protein BcellWH2_00958 [Bacteroides cellulosilyticus]
  ALJ58221.1      | CAZyme             | GH10
  ALJ58222.1      | CAZyme             | GH30
=== PUL0542 ===
  ABI49930.1      | STP                | dCache_1
  ABI49931.1      | TF                 | HTH_AraC
  ABI49932.1      | STP                | SBP_bac_1
  ABI49933.1      | Transporter        | 3.A.1.1.57
  ABI49934.1      | Transporter        | 3.A.1.1.41
  ABI49935.1      | Sulfatase          | S1_4
  ABI49936.1      | CAZyme             | CE4
  ABI49956.1      | CAZyme             | GH52
  ABI49937.2      | CAZyme             | GH10
  ABI49960.1      | Mobile_elements    | transposase [Geobacillus stearothermophilus]
  ABI49938.1      | Transporter        | 3.A.1.1.9
  ABI49939.1      | Transporter        | 3.A.1.1.9
  ABI49940.1      | CAZyme             | GH67
  ABI49941.1      | CAZyme             | GH39
  ABI49942.1      | STP                | PfkB
  ABI49943.1      | Sulfatase          | S1_27
  ABI49944.1      | TF                 | GntR
  ABI49945.1      | General_metabolism | uronate isomerase [Geobacillus stearothermophilus]
  ABI49946.1      | Sugar_metabolism   | d-mannonate hydrolase [Geobacillus stearothermophilus]
  ABI49947.1      | Sugar_metabolism   | d-mannonate oxidoreductase [Geobacillus stearothermophilus]
  ABI49948.1      | Transporter        | 9.B.28.1.5
  ABI49949.1      | Hypothetical       | hypothetical protein [Geobacillus stearothermophilus]
  ABI49958.1      | Mobile_elements    | transposase [Geobacillus stearothermophilus]
  ABI49950.1      | Other              | type ii secretory pathway protein [Geobacillus stearothermophilus]
  ABI49951.1      | CAZyme             | GH10
  ABI49952.1      | Other              | potential regulatory protein [Geobacillus stearothermophilus]
  ABI49953.1      | Sulfatase          | S1_8
  ABI49959.1      | CAZyme             | GH43
  ABI49954.1      | Kinases            | xylose kinase [Geobacillus stearothermophilus]
  ABI49955.1      | Sugar_metabolism   | xylose isomerase [Geobacillus stearothermophilus]
=== PUL0553 ===
  CBK67940.1      | CAZyme             | GH43
  CBK67941.1      | CAZyme             | GH3
  CBK67942.1      | Hypothetical       | hypothetical protein BXY_29190 [Bacteroides xylanisolvens XB1A]
  CBK67943.1      | CAZyme             | GH43
  CBK67944.1      | CAZyme             | GH31
  CBK67945.1      | CAZyme             | GH97
  CBK67946.1      | CAZyme             | GH43
  CBK67947.1      | CAZyme             | GH43
  CBK67948.1      | Transporter        | SusC
  CBK67949.1      | Transporter        | SusD
  CBK67950.1      | Transporter        | SusC
  CBK67951.1      | Transporter        | SusD
  CBK67952.1      | DUF                | Domain of unknown function (DUF1735) [Bacteroides xylanisolvens XB1A]
  CBK67953.1      | CAZyme             | GH10
  CBK67954.1      | Hypothetical       | hypothetical protein BXY_29310 [Bacteroides xylanisolvens XB1A]
  CBK67955.1      | CAZyme             | GH5
  CBK67956.1      | CAZyme             | CE6
  CBK67957.1      | CAZyme             | GH43
  CBK67958.1      | TF                 | 0036286
  CBK67959.1      | CAZyme             | GH95
  CBK67960.1      | CAZyme             | GH115
=== PUL0592 ===
  ACS99993.1      | TF                 | 0036286
  ACS99994.1      | STP                | dCache_1
  ACS99995.1      | Transporter        | 3.A.1.1.29
  ACS99996.1      | Transporter        | 3.A.1.1.29
  ACS99997.1      | Transporter        | 3.A.1.1.29
  ACS99998.1      | CAZyme             | GH67
  ACS99999.1      | CAZyme             | GH10
  ACT00001.1      | CAZyme             | GH43
=== PUL0594 ===
  ACT02228.1      | STP                | dCache_1
  ACT02229.1      | STP                | SBP_bac_1
  ACT02230.1      | TF                 | 0043095
  ACT02231.1      | CAZyme             | GH51
=== PUL0598 ===
  ADL50360.1      | CAZyme             | GH95
  ADL50361.1      | Sugar_metabolism   | xylose isomerase [Clostridium cellulovorans 743B]
  ADL50362.1      | Sugar_metabolism   | transaldolase [Clostridium cellulovorans 743B]
  ADL50363.1      | Sugar_metabolism   | xylulokinase [Clostridium cellulovorans 743B]
=== PUL0599 ===
  ADL52302.1      | TF                 | 0035607
  ADL52303.1      | STP                | dCache_1
  ADL52304.1      | STP                | SBP_bac_1
  ADL52305.1      | CAZyme             | GH43
  ADL52306.1      | Transport/Surface  | ABC-type sugar transport system periplasmic component-like protein [Clostridium cellulovorans 743B]
  ADL52307.1      | Transporter        | 3.A.1.2.15
  ADL52308.1      | Transporter        | 3.A.1.2.20
=== PUL0602 ===
  AEH48175.1      | Sugar_metabolism   | xylulokinase [Parageobacillus thermoglucosidasius C56-YS93]
  AEH48176.1      | Sugar_metabolism   | Xylose isomerase [Parageobacillus thermoglucosidasius C56-YS93]
  AEH48177.1      | Sulfatase          | S1_8
  AEH48178.1      | Other              | NGG1p interacting factor 3 protein; NIF3 [Parageobacillus thermoglucosidasius C56-YS93]
  AEH48179.1      | CAZyme             | GH10
  AEH48180.1      | Transporter        | 9.B.28.1.5
  AEH48181.1      | Oxidoreductases    | 3-oxoacyl-(acyl-carrier-protein) reductase [Parageobacillus thermoglucosidasius C56-YS93]
  AEH48182.1      | Sugar_metabolism   | Mannonate dehydratase [Parageobacillus thermoglucosidasius C56-YS93]
  AEH48183.1      | General_metabolism | Uronate isomerase [Parageobacillus thermoglucosidasius C56-YS93]
  AEH48184.1      | TF                 | GntR
  AEH48185.1      | Sulfatase          | S1_27
  AEH48186.1      | STP                | PfkB
  AEH48187.1      | CAZyme             | GH39
  AEH48188.1      | CAZyme             | GH67
  AEH48189.1      | Transporter        | 3.A.1.1.9
  AEH48190.1      | Transporter        | 3.A.1.1.9
  AEH48191.1      | STP                | SBP_bac_1
  AEH48192.1      | CAZyme             | GH10
  AEH48193.1      | CAZyme             | GH52
  AEH48194.1      | CAZyme             | CE4
  AEH48195.1      | Sulfatase          | S1_4
  AEH48196.1      | Transporter        | 3.A.1.1.41
  AEH48197.1      | Transporter        | 3.A.1.1.57
  AEH48198.1      | STP                | SBP_bac_1
  AEH48199.1      | TF                 | HTH_AraC
  AEH48200.1      | STP                | dCache_1
=== PUL0610 ===
  ACY47959.1      | TF                 | LacI
  ACY47960.1      | CAZyme             | GH43
  ACY47961.1      | CAZyme             | CBM4
  ACY47962.1      | Transporter        | SusC
  ACY47963.1      | Sulfatase          | S1_46
  ACY47964.1      | Hypothetical       | hypothetical protein Rmar_1072 [Rhodothermus marinus DSM 4252]
  ACY47965.1      | Hypothetical       | hypothetical protein Rmar_1073 [Rhodothermus marinus DSM 4252]
  ACY47966.1      | CAZyme             | GH10
  ACY47967.1      | TF                 | GerE
  ACY47968.1      | STP                | FecR
  ACY47969.1      | Transporter        | SusC
  ACY47970.1      | Transporter        | SusD
  ACY47971.1      | CAZyme             | GH67
  ACY47972.1      | CAZyme             | GH3
  ACY47973.1      | CAZyme             | GH3
=== PUL0617 ===
  NPD82008.1      | CAZyme             | GH67
  NPD82009.1      | Hydrolases         | SGNH/GDSL hydrolase family protein [Palleniella intestinalis]
  NPD82010.1      | Transporter        | 2.A.2.3.2
  NPD82011.1      | CAZyme             | GH10
  NPD82012.1      | CAZyme             | GH43
  NPD82013.1      | CAZyme             | GH43
  NPD82014.1      | Hypothetical       | hypothetical protein HPS57_08505 [Palleniella intestinalis]
  NPD82015.1      | CAZyme             | GH5
  NPD82016.1      | CAZyme             | GH10
  NPD82017.1      | DUF                | DUF1735 domain-containing protein [Palleniella intestinalis]
  NPD82018.1      | Transporter        | SusD
  NPD82019.1      | Transporter        | SusC
  NPD82020.1      | Transporter        | SusD
  NPD82021.1      | Transporter        | SusC
=== PUL0619 ===
  NPE14436.1      | Transporter        | SusC
  NPE14437.1      | Transporter        | SusD
  NPE14438.1      | Hypothetical       | hypothetical protein HPS55_08880 [Xylanibacter rodentium]
  NPE14439.1      | Hypothetical       | hypothetical protein HPS55_08885 [Xylanibacter rodentium]
  NPE14440.1      | CAZyme             | GH35
=== PUL0620 ===
  NPE14635.1      | CAZyme             | GH128
  NPE14636.1      | Hypothetical       | hypothetical protein HPS55_09950 [Xylanibacter rodentium]
  NPE14637.1      | Hypothetical       | hypothetical protein HPS55_09955 [Xylanibacter rodentium]
  NPE14638.1      | CAZyme             | GH51
  NPE14639.1      | Hypothetical       | hypothetical protein HPS55_09965 [Xylanibacter rodentium]
  NPE14640.1      | Transporter        | SusC
  NPE14641.1      | Transporter        | SusD
  NPE14642.1      | Cell_adhesion      | fasciclin [Xylanibacter rodentium]
  NPE14643.1      | Cell_adhesion      | beta-Ig-H3/fasciclin [Xylanibacter rodentium]
  NPE14644.1      | Transporter        | SusC
=== PUL0622 ===
  NPE14934.1      | Peptidase          | S09.UPW
  NPE14935.1      | Transporter        | SusD
  NPE14936.1      | Transporter        | SusC
  NPE14937.1      | Hypothetical       | hypothetical protein HPS55_11510 [Xylanibacter rodentium]
  NPE14938.1      | Hypothetical       | hypothetical protein HPS55_11515 [Xylanibacter rodentium]
  NPE14939.1      | Transporter        | SusD
  NPE14940.1      | Transporter        | SusC
  NPE14941.1      | Hypothetical       | hypothetical protein HPS55_11530 [Xylanibacter rodentium]
  NPE14942.1      | Hypothetical       | hypothetical protein HPS55_11535 [Xylanibacter rodentium]
  NPE14943.1      | Hypothetical       | hypothetical protein HPS55_11540 [Xylanibacter rodentium]
  NPE14944.1      | CAZyme             | PL11
  NPE14945.1      | CAZyme             | GH3
  -               | Unknown            | 
  NPE14946.1      | CAZyme             | GH43
  NPE14947.1      | CAZyme             | PL11
  NPE14948.1      | CAZyme             | GH2
=== PUL0624 ===
  NPD91058.1      | CAZyme             | GH43
  NPD91059.1      | Transport/Surface  | T9SS type A sorting domain-containing protein [Xylanibacter muris]
  NPD91060.1      | CAZyme             | GH51
  NPD91061.1      | Hypothetical       | hypothetical protein HPS56_01570 [Xylanibacter muris]
  NPD91062.1      | Transporter        | SusC
  NPD91063.1      | Transporter        | SusD
  NPD91064.1      | Cell_adhesion      | fasciclin [Xylanibacter muris]
  NPD91065.1      | Cell_adhesion      | beta-Ig-H3/fasciclin [Xylanibacter muris]
  NPD91066.1      | Transporter        | SusC
  NPD91067.1      | Transporter        | SusD
  NPD91068.1      | CAZyme             | GH128
=== PUL0625 ===
  NPD92966.1      | CAZyme             | GH43
  NPD92967.1      | CAZyme             | GH115
  NPD92968.1      | CAZyme             | GH43
  NPD92969.1      | CAZyme             | GH97
  NPD92970.1      | CAZyme             | GH43
  NPD92971.1      | CAZyme             | CE1
  NPD92972.1      | CAZyme             | GH95
  NPD92973.1      | CAZyme             | GH115
  -               | Unknown            | 
  NPD92974.1      | Hypothetical       | hypothetical protein HPS56_11610 [Xylanibacter muris]
  NPD92975.1      | TF                 | 0035607
  NPD92976.1      | CAZyme             | CE1
  NPD92977.1      | CAZyme             | GH30
  NPD92978.1      | Transporter        | SusD
  NPD92979.1      | Transporter        | SusC
  NPD92980.1      | Hypothetical       | hypothetical protein HPS56_11640 [Xylanibacter muris]
  NPD92981.1      | Cell_adhesion      | fasciclin domain-containing protein [Xylanibacter muris]
  NPD92982.1      | Transporter        | SusD
  NPD92983.1      | Transporter        | SusC
=== PUL0630 ===
  CCO21033.1      | Transporter        | SusC
  CCO21034.1      | Transporter        | SusD
  CCO21035.1      | Transport/Surface  | putative sugar-binding protein [termite gut metagenome]
  CCO21036.1      | CAZyme             | GH10
  CCO21037.1      | CAZyme             | GH115
  CCO21038.1      | CAZyme             | CE20
  CCO21039.1      | Transporter        | 2.A.2.3.2
  CCO21040.1      | CAZyme             | GH10
  CCO21041.1      | CAZyme             | GH43
=== PUL0648 ===
  WP_026177106.1  | CAZyme             | GH10
  WP_006843625.1  | DUF                | DUF5627 domain-containing protein [Dysgonomonas mossii]
  WP_006843626.1  | Transporter        | SusD
  WP_006843627.1  | Transporter        | SusC
  WP_006843628.1  | Transporter        | SusD
  WP_006843629.1  | Transporter        | SusC
  WP_006843630.1  | CAZyme             | GH43
  WP_006843631.1  | CAZyme             | GH43
  WP_018075007.1  | CAZyme             | GH10
  WP_006843634.1  | TF                 | HTH_AraC
  WP_006843635.1  | Sugar_metabolism   | transketolase family protein [Dysgonomonas mossii]
  WP_006843636.1  | CAZyme             | GH146
  WP_006843637.1  | STP                | NUDIX
  WP_006843638.1  | CAZyme             | CE1
  WP_006843639.1  | CAZyme             | GH8
  WP_006843640.1  | CAZyme             | CE6
  WP_006843641.1  | CAZyme             | GH43
  WP_006843642.1  | CAZyme             | GH43
  WP_006843643.1  | CAZyme             | GH97
  WP_006843644.1  | CAZyme             | GH31
  WP_026177140.1  | TF                 | HTH_AraC
  WP_018075106.1  | Hypothetical       | hypothetical protein [Dysgonomonas mossii]
  WP_006843647.1  | CAZyme             | GH51
  WP_006843648.1  | CAZyme             | GH43
  WP_006843649.1  | CAZyme             | CE1
  WP_006843651.1  | CAZyme             | GH43
  WP_006843652.1  | CAZyme             | GH115
  WP_006843653.1  | CAZyme             | CE20
  WP_006843654.1  | Transporter        | 2.A.2.3.2
  WP_006843655.1  | CAZyme             | GH10
  WP_006843656.1  | CAZyme             | GH43
  WP_006843657.1  | CAZyme             | GH67
  WP_006843658.1  | Sugar_metabolism   | mannonate dehydratase [Dysgonomonas mossii]
  WP_006843659.1  | Oxidoreductases    | SDR family oxidoreductase [Dysgonomonas mossii]
  WP_006843660.1  | TF                 | 0036286
  WP_006843661.1  | Transporter        | SusC
  WP_006843662.1  | Transporter        | SusD
=== PUL0669 ===
  WP_004294234.1  | CAZyme             | GH35
  WP_004294235.1  | CAZyme             | CE20
  WP_004289614.1  | CAZyme             | GH43
  WP_004294236.1  | CAZyme             | GH43
  WP_017141108.1  | CAZyme             | GH67
  WP_004294238.1  | TF                 | 0036286
  WP_004294239.1  | CAZyme             | GH115
  WP_232286955.1  | CAZyme             | GH95
  WP_232286957.1  | CAZyme             | CE6
  WP_004294240.1  | CAZyme             | CE15
  WP_004294241.1  | CAZyme             | GH97
  WP_004294242.1  | TF                 | 0036286
  WP_004289604.1  | CAZyme             | GH31
  WP_050793236.1  | CAZyme             | GH43
  WP_029429358.1  | CAZyme             | CE1
  WP_004289601.1  | Other              | MULTISPECIES: HU family DNA-binding protein [Bacteroidaceae]
  WP_017141103.1  | Hypothetical       | hypothetical protein [Bacteroides eggerthii]
  WP_004289599.1  | Other              | MULTISPECIES: BT4734/BF3469 family protein [Bacteroidaceae]
  WP_004289598.1  | CAZyme             | GH5
  WP_004294246.1  | CAZyme             | GH10
  WP_004289596.1  | DUF                | MULTISPECIES: DUF5627 domain-containing protein [Bacteroidaceae]
  WP_004289595.1  | Transporter        | SusD
  WP_029429356.1  | Transporter        | SusC
  WP_004294248.1  | Transporter        | SusD
  WP_004289592.1  | Transporter        | SusC
  WP_004289591.1  | CAZyme             | GH43
=== PUL0682 ===
  MCF0243542.1    | CAZyme             | GH97
  MCF0243543.1    | CAZyme             | CBM89
  MCF0243544.1    | CAZyme             | GH43
=== PUL0694 ===
  WP_041726955.1  | CAZyme             | CBM35
  WP_013431286.1  | Transporter        | 3.A.1.1.57
  WP_041727298.1  | Transporter        | 3.A.1.1.39
  WP_015906802.1  | Other              | YIP1 family protein [Caldicellulosiruptor bescii]
  WP_015906803.1  | DUF                | DUF5696 domain-containing protein [Caldicellulosiruptor bescii]
  WP_015906804.1  | Transporter        | 3.A.1.1.11
  WP_015906805.1  | Transporter        | 3.A.1.1.20
  WP_013431280.1  | STP                | SBP_bac_1
  WP_015906806.1  | CAZyme             | GH43
  WP_015906807.1  | CAZyme             | CBM22
  WP_015906808.1  | CAZyme             | GH39
  WP_015906809.1  | CAZyme             | GH10
  WP_015906810.1  | CAZyme             | CE1
  WP_015906811.1  | CAZyme             | GH39
=== PUL0695 ===
  WP_015907191.1  | STP                | SBP_bac_1
  WP_015907192.1  | Transporter        | 3.A.1.1.4
  WP_015907193.1  | Transporter        | 3.A.1.1.18
  WP_015907194.1  | TF                 | 0043935
  WP_015907195.1  | CAZyme             | CBM22
=== PUL0696 ===
  WP_015907390.1  | STP                | SBP_bac_1
  WP_015907391.1  | General_metabolism | uroporphyrinogen decarboxylase family protein [Caldicellulosiruptor bescii]
  WP_015907392.1  | Transporter        | 3.A.1.1.10
  WP_015907393.1  | Transporter        | 3.A.1.1.29
  WP_013430735.1  | Transporter        | 3.A.1.1.29
  WP_015907394.1  | STP                | HATPase_c
  WP_015907395.1  | TF                 | 0035607
  WP_015907396.1  | CAZyme             | GH67
  WP_015907397.1  | Oxidoreductases    | mannitol dehydrogenase family protein [Caldicellulosiruptor bescii]
  WP_015907398.1  | Sugar_metabolism   | mannonate dehydratase [Caldicellulosiruptor bescii]
  WP_041727352.1  | CAZyme             | GH2
=== PUL0697 ===
  WP_015909018.1  | CAZyme             | CE20
  WP_015909019.1  | CAZyme             | CE4
  WP_015909020.1  | CAZyme             | GH10
=== PUL0704 ===
  WP_031425579.1  | Transporter        | SusD
  WP_031425580.1  | Transporter        | SusC
  WP_031425581.1  | Sugar_metabolism   | xylulokinase [Flavimarina sp. Hel_I_48]
  WP_031425582.1  | TF                 | 0036955
  WP_117434191.1  | CAZyme             | GH67
  WP_035916775.1  | CAZyme             | GH10
  WP_031425585.1  | CAZyme             | GH115
  WP_031425586.1  | CAZyme             | GH10
  WP_206340674.1  | Transport/Surface  | glycan-binding surface protein [Flavimarina sp. Hel_I_48]
  WP_031425588.1  | Transporter        | SusD
  WP_031425589.1  | Transporter        | SusC
  WP_081868360.1  | CAZyme             | CE15
  WP_031425591.1  | Transporter        | SusD
  WP_051907744.1  | Transporter        | SusC
  WP_031425593.1  | CAZyme             | GH43
  WP_031425594.1  | CAZyme             | CE20
  WP_031425595.1  | Transporter        | SusC
  WP_051907745.1  | Other              | choice-of-anchor Q domain-containing protein [Flavimarina sp. Hel_I_48]
=== PUL0705 ===
  WP_081868372.1  | CAZyme             | GH43
  WP_031425947.1  | CAZyme             | GH97
  WP_051907767.1  | CAZyme             | GH43
  WP_081868373.1  | CAZyme             | CE6
  WP_035916826.1  | CAZyme             | GH8
  WP_051907768.1  | CAZyme             | GH95
  WP_164076206.1  | TF                 | HTH_AraC
  WP_035916828.1  | CAZyme             | GH10
  WP_051907770.1  | CAZyme             | GH10
  WP_031425955.1  | DUF                | DUF5627 domain-containing protein [Flavimarina sp. Hel_I_48]
  WP_031425956.1  | Transporter        | SusD
  WP_031425957.1  | Transporter        | SusC
  WP_031425958.1  | Transporter        | SusD
  WP_035916831.1  | Transporter        | SusC
=== PUL0722 ===
  WP_203394764.1  | CAZyme             | GH43
  WP_203394765.1  | CAZyme             | GH43
  WP_203394766.1  | CAZyme             | GH10
  WP_203394767.1  | Sulfatase          | S1_22
  WP_252191098.1  | Operon/Regulon     | ThuA domain-containing protein [Polaribacter sp. Q13]
  WP_249988932.1  | CAZyme             | GH179
  WP_252191099.1  | Transporter        | 9.B.107.1.4
  WP_203394769.1  | Hypothetical       | hypothetical protein [Polaribacter sp. Q13]
  WP_203394770.1  | TF                 | DUF24
  WP_203394771.1  | CAZyme             | GH10
  WP_203394772.1  | Sulfatase          | S1_4
  WP_203394773.1  | Hypothetical       | hypothetical protein [Polaribacter sp. Q13]
  WP_203394774.1  | Hypothetical       | MULTISPECIES: hypothetical protein [unclassified Polaribacter]
  WP_203394775.1  | Phosphatase        | MULTISPECIES: alkaline phosphatase [unclassified Polaribacter]
  WP_252191100.1  | Operon/Regulon     | ThuA domain-containing protein [Polaribacter sp. Q13]
  WP_203394777.1  | Sulfatase          | S1_62
  WP_203394778.1  | CAZyme             | GH26
  WP_203394779.1  | CAZyme             | GH43
  WP_203394780.1  | CAZyme             | GH10
  WP_203394781.1  | CAZyme             | GH10
  WP_203394782.1  | CAZyme             | CBM4
  WP_203394783.1  | Transporter        | SusD
  WP_252191101.1  | Transporter        | SusC
  WP_203394785.1  | CAZyme             | GH3
  WP_203394786.1  | TF                 | 0035607
  WP_203394787.1  | CAZyme             | CBM0
  WP_203394788.1  | Sugar_metabolism   | fructose-6-phosphate aldolase [Polaribacter sp. Q13]
  WP_203394789.1  | Sugar_metabolism   | transketolase family protein [Polaribacter sp. Q13]
  WP_215602577.1  | Sugar_metabolism   | xylose isomerase [Polaribacter sp. Q13]
  WP_203394322.1  | Sugar_metabolism   | xylulokinase [Polaribacter sp. Q13]
=== PUL0743 ===
  WP_015924755.1  | Transporter        | 9.B.33.1.7
  WP_015924756.1  | TF                 | 0036286
  WP_015924757.1  | STP                | SBP_bac_1
  WP_015924758.1  | Transporter        | 3.A.1.1.9
  WP_015924759.1  | Transporter        | 3.A.1.1.9
  WP_015924760.1  | CAZyme             | GH51
  WP_015924761.1  | DUF                | DUF6171 family protein [Ruminiclostridium cellulolyticum]
  WP_015924762.1  | CAZyme             | GH43
  WP_015924763.1  | CAZyme             | GH8
  WP_015924764.1  | CAZyme             | GH39
  WP_015924765.1  | CAZyme             | CE1
  WP_015924766.1  | CAZyme             | GH182
  WP_041706618.1  | CAZyme             | CE20
=== PUL0792 ===
  WP_226555405.1  | Peptidase          | peptide deformylase [Bifidobacterium pseudocatenulatum]
  WP_226849175.1  | Oxidoreductases    | bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD [Bifidobacterium pseudocatenulatum]
  WP_004219837.1  | STP                | SBP_bac_1
  WP_221608518.1  | Transporter        | 3.A.1.1.21
  WP_004219834.1  | Transporter        | 3.A.1.1.46
  WP_226849177.1  | CAZyme             | GH120
  WP_226849180.1  | CAZyme             | GH43
  WP_226849182.1  | CAZyme             | GH0
  WP_226849184.1  | CAZyme             | GH8
  WP_226555413.1  | CAZyme             | GH10
  WP_226555415.1  | Mobile_elements    | integrase catalytic domain-containing protein [Bifidobacterium pseudocatenulatum]
  WP_226849186.1  | CAZyme             | CE20
  -               | Unknown            | 
  WP_261980546.1  | Hypothetical       | MULTISPECIES: hypothetical protein [Bifidobacterium]
  WP_226555418.1  | Hydrolases         | MULTISPECIES: nucleoside hydrolase [Bifidobacterium]
  -               | Unknown            | 
  WP_226555419.1  | TF                 | 0043669
