PULID,PMID,verification_final,genomic_accession_number,nucleotide_position_range,substrate_final,gene_locus_tags_or_modular,old_other_gene_locus_tags_or_modules,organism_name,ncbi_species_tax_id,degradation_biosynthesis,cazy_diamond_eval,dbcan_hmmer_eval,hotpep_hits,tp_eval,num_cgcs,cazymes_predicted_dbCAN2,num_cazymes,num_genes,cazymes_predicted_dbcan,
PUL0097,31275257,sequence homology analysis,NZ_KB905472.1,535723-561211,"O-glycan,N-glycan",,,Bacteroides massiliensis,204516,degradation,default,default,default,default,1,yes,10,15,"GH33,GH20,GH2,GH20,GH20,GH92,GH2,CE9",
PUL0098,31275257,sequence homology analysis,NZ_DS990126.1,30380-44393,"O-glycan,N-glycan",,,Bacteroides plebeius,310297,degradation,default,default,default,default,1,yes,3,12,GH33,
PUL0099,30796211,"RNA-Seq,substrate binding assay,enzyme activity assay,mass spectrometry",NZ_GG692727.1,64567-74095,beta-mannan,ROSINTL182_RS11930-ROSINTL182_RS11940,ROSINTL182_07683-ROSINTL182_07685,Roseburia intestinalis,166486,degradation,default,default,default,default,0,yes,2,3,"CBM27|GH26|CBM23,GH3,GH3",
PUL0100,9405618,"transposon mutagenesis,growth assay",NZ_CP027060.1,4090005-4095238,chitobiose,chbBCARFG,C5Y66_21130-C5Y66_21155,Escherichia coli,562,degradation,default,default,default,default,1,yes,1,6,GH4,
PUL0101,31275257,sequence homology analysis,NZ_DS990126.1,54056-84377,"O-glycan,N-glycan",BACPLE_RS06865-BACPLE_RS06955,,Bacteroides plebeius,310297,degradation,default,default,default,default,1,yes,5,19,"CBM67|GH78,GH3,GH115,GH97",
PUL0102,31275257,"fosmid library screen,lectin binding assay",LR131274.1,620-32300,"O-glycan,N-glycan",VDS02385.1-VDS02409.1,,uncultured bacterium,77133,degradation,default,default,default,default,1,yes,4,25,"GH20,GH29,GH33,CBM67|GH78",
PUL0103,31275257,"fosmid library screen,lectin binding assay",LR131282.1,26-32565,"O-glycan,N-glycan",VDS02584.1-VDS02614.1,,uncultured bacterium,77133,degradation,default,default,default,default,1,yes,2,31,"CBM67|GH78,GH33",
PUL0104,31275257,"fosmid library screen,lectin binding assay",LR131283.1,35-30809,"O-glycan,N-glycan",VDS02615.1-VDS02647.1,,uncultured bacterium,77133,degradation,default,default,default,default,2,yes,3,33,"GH33,CBM67|GH78",
PUL0105,31275257,"fosmid library screen,lectin binding assay",LR131284.1,577-44510,"O-glycan,N-glycan",VDS02648.1-VDS02683.1,,uncultured bacterium,77133,degradation,default,default,default,default,1,yes,5,36,"GH33,CBM67|GH78,GH3,GH115,GH97",
PUL0106,31275257,"fosmid library screen,lectin binding assay",LR131285.1,35-33387,"O-glycan,N-glycan",VDS02684.1-VDS02705.1,,uncultured bacterium,77133,degradation,default,default,default,default,1,yes,4,22,"GH20,GH2,GH2,GH2",
PUL0107,31275257,"fosmid library screen,lectin binding assay",LR131275.1,175-27831,"O-glycan,N-glycan",VDS02410.1-VDS02435.1,,uncultured bacterium,77133,degradation,default,default,default,default,1,yes,4,27,GH1,
PUL0108,31275257,sequence homology analysis,NZ_NFHS01000001.1,745835-779958,"O-glycan,N-glycan",B5G17_RS02980-B5G17_RS03130,,Bacteroides uniformis,820,degradation,default,default,default,default,1,yes,3,27,"GH2,GH3",
PUL0109,31275257,"fosmid library screen,lectin binding assay",LR131277.1,26-32565,"O-glycan,N-glycan",VDS02463.1-VDS02489.1,,uncultured bacterium,77133,degradation,default,default,default,default,1,yes,3,28,GH2,
PUL0110,31275257,"fosmid library screen,lectin binding assay",LR131280.1,35-30809,"O-glycan,N-glycan",VDS02539.1-VDS02566.1,,uncultured bacterium,77133,degradation,default,default,default,default,1,yes,3,28,GH2,
PUL0111,9642246,"enzyme activity assay,Northern Blot,transport assay",U00096.3,4340720-4344790,melibiose,melRAB,,Escherichia coli,562,degradation,default,default,default,default,1,yes,1,3,GH4,
PUL0112,31275257,"fosmid library screen,lectin binding assay",LR131276.1,4-35955,"O-glycan,N-glycan",VDS02437.1-VDS02461.1,,uncultured bacterium,77133,degradation,default,default,default,default,1,yes,1,25,"GH20,GH2,GH2,GH2",
PUL0113,31275257,sequence homology analysis,NZ_GG697150.2,404290-430480,"O-glycan,N-glycan",FAEPRAA2165_RS04780-FAEPRAA2165_RS04885,,Faecalibacterium prausnitzii,853,degradation,default,default,default,default,1,yes,1,23,GH1,
PUL0114,31198441,"recombinant protein expression,enzyme activity assay",CP001348.1,1505662-1537237,arabinofuranose,Ccel_1229-Ccel_1242,,Ruminiclostridium cellulolyticum,1521,degradation,default,default,default,default,0,yes,14,14,"GH43|GH43_16|CBM6,GH10|CBM6,GH43|GH43_29|CBM6,CE1|CBM6,GH43_10|CBM6,GH62|CBM6,GH43|GH43_29|CBM6,GH146|CBM22,GH27|CBM6,GH59|CBM6,GH2|CBM6,GH62|CE6|CBM6,CBM32|GH95|CBM6,GH30_8|CBM6",
PUL0115,31160824,"recombinant protein expression,RNA-Seq,differential gene expression",AE015928.1,557455-572833,N-glycan,BT_0455-BT_0461,,Bacteroides thetaiotaomicron,818,degradation,default,default,default,default,0,yes,7,7,"GH33,GH20,GH2,GH20,GH20,GH2",
PUL0116,31160824,"recombinant protein expression,RNA-Seq,differential gene expression",AE015928.1,626800-629842,N-glycan,BT_0506-BT_0507,,Bacteroides thetaiotaomicron,818,degradation,default,default,default,default,0,yes,1,2,GH20,
PUL0117,31160824,"recombinant protein expression,RNA-Seq,differential gene expression",AE015928.1,1300094-1337010,N-glycan,BT_1032-BT_1053,,Bacteroides thetaiotaomicron,818,degradation,default,default,default,default,1,yes,4,22,"GH92,GH130,GH163,GH20",
PUL0118,32265336,"qRT-PCR,affinity gel electrophoresis,isothermal titration calorimetry",NZ_DS362241.1,149200-163732,"laminarin,beta-glucan",BACUNI_RS07655-BACUNI_RS07685,BACUNI_01484-BACUNI_01490,Bacteroides uniformis,820,degradation,default,default,default,default,1,yes,3,7,"CBM6|GH3,GH158,GH16",
PUL0119,31160824,"recombinant protein expression,RNA-Seq,differential gene expression",AE015928.1,1999530-2002981,N-glycan,BT_1624-BT_1625,,Bacteroides thetaiotaomicron,818,degradation,default,default,default,default,0,yes,1,2,CBM32|GH29,
PUL0120,31160824,"recombinant protein expression,RNA-Seq,differential gene expression",AE015928.1,5798923-5807973,"N-glycan,mucin",BT_4402-BT_4407,,Bacteroides thetaiotaomicron,818,degradation,default,default,2,default,1,yes,2,6,CBM14|GH18,
PUL0121,31164449,fosmid library screen,MH105972.1 ,1-30126,4-methylumbelliferyl 6-azido-6-deoxy-beta-D-galactoside,ORF1-ORF7,,uncultured bacterium,77133,degradation,1E-25,0.0001,default,default,1,yes,2,36,"GH13_23,GH1",
PUL0122,9741105,enzyme activity assay,NC_023151.1,1598265-1608135,"alpha-galactoside,beta-galactoside,raffinose,melibiose",THEMA_RS08275-THEMA_RS08300,,Thermotoga maritima,2336,degradation,default,default,default,default,1,yes,3,6,"GH42,GH2,GH36",
PUL0123,31164449,fosmid library screen,MH106010.1 ,59-36574,4-methylumbelliferyl 6-azido-6-deoxy-beta-D-galactoside,FOS62_41_C11_0 ,,uncultured bacterium,77133,degradation,default,default,default,default,1,yes,2,37,"GH63,CBM67|GH78",
PUL0124,31164449,fosmid library screen,MH106116.1,536-25765,4-methylumbelliferyl 6-azido-6-deoxy-beta-D-galactoside,TolDC_32_D22_1 ,,uncultured bacterium,77133,degradation,default,default,default,default,1,yes,2,33,"GH13|GH13_23,GH1",
PUL0125,31062073+32801182,"affinity gel electrophoresis,substrate binding assay,RNA-Seq",DS264579.1,174339-188331,beta-glucan,BACOVA_02740 - BACOVA_02745,,Bacteroides ovatus,28116,degradation,default,default,default,default,1,yes,2,6,"GH16,GH3",
PUL0126,30936857,"growth assay,sequence homology analysis",LR136958.1,1950044-1962304,"alginate,ulvan",ALT761_01682-ALT761_01689,,Alteromonas sp. 76-1,2358187,degradation,default,default,default,default,1,yes,2,8,"PL7|PL7_5,PL6|PL6_1",
PUL0127,30936857,"growth assay,sequence homology analysis",LR136958.1,3936797-3956397,"alginate,ulvan",ALT761_03413-ALT761_03424,,Alteromonas sp. 76-1,2358187,degradation,default,default,default,default,1,yes,3,12,"PL7|PL7_5|CBM32,PL6_3|PL6,PL7|PL7_5,PL6|PL6_1",
PUL0128,30635377,"RT-PCR,enzyme activity assay",AP010888.1,2209677-2271591,hemicellulose,BLLJ_1836-BLLJ_1859,,Bifidobacterium longum subsp. longum JCM 1217,565042,degradation,default,default,default,default,1,yes,8,24,"GH43|GH43_24,GH30_5|GH30|CBM13,GH146,GH43|GH43_34|GH43_22,GH43|GH43_22|GH43_26,GH43_27|GH43,GH43_22,GH43_22",
PUL0129,30356154,enzyme activity assay,Ga0139390_150,30256-49978,beta-mannan,2703759865_27-2703759865_38,,gut metagenome,749906,degradation,default,default,default,default,1,yes,6,12,"GH5|GH5_4|GH26,GH26,GH5|GH5_4,CE7,CE7|GH26,GH130",
PUL0130,30385338,"NMR,mass spectrometry",MWTN01000002.1,83188-99693,O-antigen,manC-manB-wzm-wzt-wejH-wejI-gmd-rmd-wejJ-wejK-wejL-wejM,,Yersinia rohdei,29485,biosynthesis,default,default,default,default,1,yes,3,11,"GT4,GT4",
PUL0131,30385338,sequence homology analysis,FJ940773.1 ,107-16155,O-antigen,manC-manB-wzm-wzt-orf5-orf6-gmd-rmd-orf9-orf10-gne-galF,,Acidiphilium rubrum,526,biosynthesis,default,default,default,default,1,yes,3,12,"GT4,GT4,GT4",
PUL0132,30341165,enzyme activity assay,FP476056.1,249036-267488,hemicellulose,ZOBELLIA_208-ZOBELLIA_215,,Zobellia galactanivorans,63186,degradation,default,default,default,default,1,yes,1,8,"GH5|GH5_4,CBM4",
PUL0133,15671160,sequence homology analysis,CP000033.3,1759462-1771472,exopolysaccharide,LBA1724-LBA1737,La1724-La1737,Lactobacillus acidophilus,1579,biosynthesis,default,default,default,default,1,yes,3,14,"GT2,GT2",
PUL0134,30341080,sequence homology analysis,CP016359.1,2419679-2461893,pectin,GRFL_2154-GRFL_2182,,Gramella flava,1486245,degradation,default,default,default,default,1,yes,10,29,"CE8,PL9_1,GH28,GH105,GH43_10,GH28|PL9_1,CE12,CE8|CE10,CE12,PL10_1",
PUL0135,30341080,"enzyme activity assay,substrate binding assay",MH687413 ,1-27138,pectin,,,Pseudoalteromonas sp.,53249,degradation,default,default,default,default,1,yes,8,21,"CE12|CE4,GH28,GH105,GH105,GH43|GH43_10,CE8,PL1_2",
PUL0136,30341080,sequence homology analysis,ADOP01000016,43718-80113,pectin,PH505_ap00420-PH505_ap00680,,Pseudoalteromonas haloplanktis,228,degradation,default,default,default,default,1,yes,6,26,"PL1|PL1_5|CE8,PL1|PL1_2,GH105,GH105,GH28",
PUL0137,30306201,sequence homology analysis,CP028460,589943-596176,lactose,CNCMI4602_0490-CNCMI4602_0492,,Bifidobacterium animalis subsp. animalis,302912,degradation,default,default,default,default,1,yes,1,3,GH2,
PUL0138,30306201,sequence homology analysis,CP028460,1879108-1890055,"raffinose,melibiose",CNCMI4602_1521-CNCMI4602_1527,,Bifidobacterium animalis subsp. animalis,302912,degradation,default,default,default,default,1,yes,2,7,"GH36,GH36",
PUL0139,30306201,sequence homology analysis,CP028460,61377-75411,arabinose,CNCMI4602_0058-CNCMI4602_0069,,Bifidobacterium animalis subsp. animalis,302912,degradation,default,default,default,default,1,yes,1,12,GH51,
PUL0140,30306201,sequence homology analysis,CP028460,622448-639066,xylose,CNCMI4602_0516-CNCMI4602_0526,,Bifidobacterium animalis subsp. animalis,302912,degradation,default,default,default,default,1,yes,5,11,"GH43|GH43_12,GH43|GH43_11,GH43_10",
PUL0141,30306201,sequence homology analysis,CP028460,153312-158539,sucrose,CNCMI4602_0135-CNCMI4602_0138,,Bifidobacterium animalis subsp. animalis,302912,degradation,default,default,default,default,1,yes,1,4,GH13_18|GH13,
PUL0142,30306201,sequence homology analysis,CP028460,1843829-1850807,maltose,CNCMI4602_1497-CNCMI4602_1502,,Bifidobacterium animalis subsp. animalis,302912,degradation,default,default,default,default,1,yes,1,5,GH13_30,
PUL0143,30306201,sequence homology analysis,CP028460,1621196-1636073,exopolysaccharide,CNCMI4602_1329-CNCMI4602_1342,,Bifidobacterium animalis subsp. animalis,302912,degradation,default,default,default,default,1,yes,3,12,"GT2,GT32",
PUL0144,16199574,"enzyme activity assay,Western Blot",AP006878.1,1552919-1569129,chitin,TK1754-TK1765,,Thermococcus kodakarensis,311400,degradation,default,default,default,default,1,yes,3,12,"GH35,GH1,CBM2|GH18",
PUL0145,30262663,enzyme activity assay,AE015928.1,4269304-4322090,"glycosaminoglycan,chondroitin sulfate",BT_3324-BT_3350,,Bacteroides thetaiotaomicron,818,degradation,default,default,default,default,1,yes,5,27,"PL8|PL8_2,PL29,GH2,GH88,PL8_2",
PUL0146,30524390,sequence homology analysis,CP000388.1,1036849-1074395,carrageenan,PATL_RS04485-PATL_RS04595,Patl_0879-Patl_0901,Pseudoalteromonas atlantica,288,degradation,default,default,default,default,1,yes,1,23,GH16,
PUL0147,30524390,sequence homology analysis,NZ_LT965930.1,17040-67290,carrageenan,PCAR9_RS20140-PCAR9_RS20290,PCAR9_p0019-PCAR9_p0052,Pseudoalteromonas carrageenovora,227,degradation,default,default,default,default,1,yes,5,30,"GH16,GH16,GH150",
PUL0148,30524390,sequence homology analysis,FP476056.1,3634325-3657429,carrageenan,ZOBELLIA_3145-ZOBELLIA_3159,,Zobellia galactanivorans,63186,degradation,default,default,default,default,1,yes,4,15,"GH127,GH127,GH127,GH129",
PUL0149,30524390,sequence homology analysis,FP476056.1,2560055-2579666,carrageenan,ZOBELLIA_2194-ZOBELLIA_2203 ,,Zobellia galactanivorans,63186,degradation,default,default,default,default,1,yes,2,10,"GH110,GH110",
PUL0150,30524390,sequence homology analysis,LT965928.1,1244357-1267465,alginate,PCAR9_a20869-PCAR9_a20882,,Pseudoalteromonas carrageenovora,227,degradation,default,default,default,default,1,yes,3,14,"PL6|PL6_1,PL17|PL17_2,PL6_3",
PUL0151,30524390+32585009,"sequence homology analysis,Northern Blot,RT-qPCR,electrophoretic mobility shift assay,clone and expression,gene deletion mutant and growth assay",FP476056.1,3067454-3083329,alginate,ZOBELLIA_2613-ZOBELLIA_2624,,Zobellia galactanivorans,63186,degradation,default,default,default,default,1,yes,2,12,"PL7,PL17_2|PL17",
PUL0152,30524390,sequence homology analysis,CP000388.1,4406812-4416529,alginate,PATL_RS18725-PATL_RS18760,Patl_3654-Patl_3661 ,Pseudoalteromonas atlantica,288,degradation,default,default,default,default,1,yes,1,8,PL6|PL6_1,
PUL0153,30332787,RNA-Seq,MSTC01000081.1,673-5238,lactose,BVG98_13950-BVG98_13965,,Lactobacillus rhamnosus,47715,degradation,default,default,default,default,1,yes,1,3,GH1,
PUL0154,30332787,"RNA-Seq,differential gene expression",MSTC01000063.1,16530-21163,lactose,BVG98_10115-BVG98_10130,,Lactobacillus rhamnosus,47715,degradation,default,default,default,default,1,yes,1,3,GH1,
PUL0155,16545947,enzyme activity assay,AE007870.2,11703-21103,alginate,atu3019-atu3026,,Agrobacterium fabrum,1176649,degradation,default,default,default,default,1,yes,1,8,PL15_1,
PUL0156,30332787,"RNA-Seq,differential gene expression",MSTC01000055.1,620-3443,lactose,BVG98_07735-BVG98_07740,,Lactobacillus rhamnosus,47715,degradation,default,default,default,default,0,yes,2,2,GH2,
PUL0157,30332787,"RNA-Seq,differential gene expression",MSTB01000008.1,16506-21136,lactose,BT102_01370-BT102_01385,,Lactobacillus rhamnosus,47715,degradation,default,default,default,default,1,yes,1,4,GH1,
PUL0158,30332787,"RNA-Seq,differential gene expression",NC_013199.1,311240-315872,lactose,Lc705_RS01460-Lc705_RS01475,,Lactobacillus rhamnosus,47715,degradation,default,default,default,default,1,yes,1,4,GH1,
PUL0159,30332787,"RNA-Seq,differential gene expression",FM179324.1,40411-43234,lactose,Lc705_p00049-Lc705_p00050,,Lactobacillus rhamnosus,47715,degradation,default,default,default,default,0,yes,2,2,GH2,
PUL0160,30246424,"mass spectrometry,sequence homology analysis",JQNQ01000001.1,1815119-1861584,alpha-mannan,FG27draft_1658-FG27draft_1687,,Salegentibacter sp. Hel_I_6,1250278,degradation,default,default,default,default,1,yes,10,33,"GH92,GH92,GH43|GH43_34,GH125,CBM32,GH92,GH92,GH92,GH76,GH2,GH92",
PUL0161,30246424,"mass spectrometry,sequence homology analysis",NC_004663.1,3262908-3301755,alpha-mannan,BT_2620-BT_2648,,Bacteroides thetaiotaomicron,818,degradation,default,default,default,default,1,yes,6,26,"GH97,GH67,GH76,GH92,GH76,GH125",
PUL0162,30246424,"mass spectrometry,sequence homology analysis",NC_004663.1,5012915-5035451,alpha-mannan,BT_3853-BT_3865,,Bacteroides thetaiotaomicron,818,degradation,default,default,default,default,1,yes,2,13,"GH92,GH99",
PUL0163,30246424,"mass spectrometry,sequence homology analysis",NC_004663.1,4893415-4930042,alpha-mannan,BT_3773-BT_3793,,Bacteroides thetaiotaomicron,818,degradation,default,default,default,default,1,yes,7,21,"GH92,GH38|CBM32,GT32,GT32,GH130,GH125,GH76,GH92,GH76",
PUL0164,30246424,"mass spectrometry,sequence homology analysis,differential gene expression",NZ_JHZY01000004.1,1690359-1719497,beta-mannan,P164_RS15845-P164_RS15935,P162_RS0116255-P162_RS0116345,Leeuwenhoekiella sp. MAR_2009_132,1392489,degradation,default,default,default,default,1,yes,9,19,"CE2,GH3,GH5_7,GH26,GH130,GH26,GH5_2|GH5,GH27,GH9,GH26",
PUL0165,30246424,"mass spectrometry,sequence homology analysis,differential gene expression",JQNQ01000001.1,2251021-2277198,beta-mannan,FG27draft_2042-FG27draft_2057,,Salegentibacter sp. Hel_I_6,1250278,degradation,default,default,default,default,1,yes,6,17,"GH9,GH27,GH5|GH5_2,GH26,GH130,GH26",
PUL0166,16788175,"enzyme activity assay,RT-PCR",NC_016776.1,3710042-3720606,starch,BF638R_RS15150-BF638R_RS15170,BF638R_3167-BF638R_3171,Bacteroides fragilis,817,degradation,default,default,default,default,1,yes,1,5,GH13_10|GH13,
PUL0167,30246424,"mass spectrometry,sequence homology analysis",AAXF02000047.1,109596-128600,beta-mannan,BACOVA_02087-BACOVA_02097,,Bacteroides ovatus,28116,degradation,default,default,default,default,1,yes,4,12,"GH130,GH36,GH26,GH26",
PUL0168,30099846,gene deletion mutant and growth assay,AE005176,2053080-2066266,galactose,L36511-L48789,,Lactococcus lactis subsp. lactis,1360,degradation,default,default,default,default,1,yes,1,9,GH2,
PUL0169,30092047,"enzyme activity assay,qRT-PCR",AM039952.1,3088883-3109438,arabinofuranooligosaccharide,XCV2724-XCV2729,,Xanthomonas euvesicatoria,456327,degradation,default,default,default,default,1,yes,3,9,"GH146,GH43|GH43_29,GH121",
PUL0170,29141231,enzyme activity assay,NZ_DS264579.1,171439-188331,beta-glucan,BACOVA_RS11920-BACOVA_RS11950, BACOVA_02738-BACOVA_02745,Bacteroides ovatus,28116,degradation,default,default,default,default,1,yes,3,7,"GH3,GH16,GH3",
PUL0171,27353652,"qRT-PCR,RNA-Seq",FQ312004.1,4060271-4070266,N-glycan,BF638R_3437-BF638R_3443,,Bacteroides fragilis,817,degradation,default,default,default,default,1,yes,1,7,GH18,
PUL0172,27166227,"gene deletion mutant and growth assay,NMR,sugar utilization assay",KX156850.1 ,117-12928,O-antigen,rmlB-rmlA-rmlD-rmlC-orf5-wzm-wzt-orf8-orf9,,Franconibacter pulveris,435910,biosynthesis,default,default,default,default,1,yes,3,9,"GT2,GT2",
PUL0173,27177202,"sequence homology analysis,NMR,sugar utilization assay",AB812065,1-21325,O-antigen,,,Escherichia coli,562,biosynthesis,default,default,default,default,0,yes,4,20,"GT4,GT4,GT2",
PUL0174,27302067,"RT-PCR,enzyme activity assay,enzymatic product analysis",CP001736.1,4338948-4346415,starch,Kfla_4051-Kfla_4053,,Kribbella flavida,182640,degradation,default,default,default,default,0,yes,2,3,"CBM20|GH31,CBM35|GH31",
PUL0175,16842369,enzyme activity assay,AY526725.1,111-5257,galactomannan,unkA-epiA-aga27A,,Cellvibrio mixtus,39650,degradation,default,default,default,default,0,yes,3,4,"GH130,GH5_7|GH5,GH27",
PUL0176,27302067,"RT-PCR,enzyme activity assay,enzymatic product analysis",CP001736.1,1994155-2001711,isomaltose,Kfla_1895-Kfla_1900,,Kribbella flavida,182640,degradation,default,default,default,default,1,yes,2,6,"GH31,GH15",
PUL0177,27293097,"NMR,sugar utilization assay",AB811600,1-16476,O-antigen,BAQ00630.1-BAQ00644.1,,Escherichia coli,562,biosynthesis,default,default,default,default,1,yes,4,15,GT4,
PUL0178,27288925+22205877,"enzyme activity assay,enzyme specificity assay,substrate specificity assay",AAXF02000047.1,106585-128684,galactomannan,BACOVA_02085-BACOVA_02098,,Bacteroides ovatus,28116,degradation,default,default,default,default,1,yes,4,14,"GH130,GH36,GH26,GH26",
PUL0179,27288925,"enzyme activity assay,enzyme specificity assay,substrate specificity assay",JH724241.1,777587-798381,galactomannan,HMPREF1070_00547-HMPREF1070_00560,,Bacteroides ovatus,28116,degradation,default,default,default,default,1,yes,3,15,"CE7,GH130,GH26,GH26",
PUL0180,27288925+21539815,enzyme activity assay,CR626927.1,973099-1007603,galactomannan,BF9343_0759-BF9343_0777,,Bacteroides fragilis,817,degradation,default,default,default,default,1,yes,4,19,"GH36,GH29,GH29",
PUL0181,27083849,"NMR,sugar utilization assay",AB812036,1-20537,O-antigen,galF-wzx-irf2-tld-orf4-wzy-orf6-orf7-gmd-fcl-gmm-manC-wfgS-manB-gnd,,Escherichia coli,562,biosynthesis,default,default,default,default,0,yes,5,19,"GT4,GT2",
PUL0182,27058293,"NMR,sugar utilization assay",AB811608,434-13616,O-antigen,galF-orf1-wegS-wzx-orf4-wzy-orf6-gnd,,Escherichia coli,562,biosynthesis,default,default,default,default,0,yes,3,12,GT2,
PUL0183,27058293,"NMR,sugar utilization assay",AB811614,1-19104,O-antigen,BAQ00839.1-BAQ00853.1,,Escherichia coli,562,biosynthesis,default,default,default,default,0,yes,3,15,GT2,
PUL0184,27058293,"NMR,sugar utilization assay",AB812045,517-20808,O-antigen,galF-rmlB-rmlD-rmlA-rmlC-wegS-wzx-orf7-wzy-orf9-orf10-gnd,,Escherichia coli,562,biosynthesis,default,default,default,default,0,yes,3,20,GT4,
PUL0186,17028271,gene deletion mutant and growth assay,AE007317.1,274499-281042,cellobiose,spr0276-spr0282,,Streptococcus pneumoniae,1313,degradation,default,default,default,default,1,yes,1,7,GH1,
PUL0187,26746717,"qRT-PCR,enzyme activity assay",NC_012914.1,1124076-1136568,beta-glucan,PJDR2_RS04870-PJDR2_RS4900,,Paenibacillus sp. JDR-2,324057,degradation,default,default,default,default,1,yes,2,7,"CBM4|CBM54|CBM6|GH16,GH16",
PUL0188,26582605,"NMR,sugar utilization assay",GU068045.1,107-11174,O-antigen,wcnP-wcnQ-wcnR-wcnS-wcnT-wzx-wcnU-wzy-wcnV-wcnW,,Escherichia coli,562,biosynthesis,default,default,default,default,1,yes,3,10,"GT0,GT2",
PUL0189,26920945,"RNA-Seq,RT-PCR,qPCR",FP929033.1,736268-774130,pectin,BXY_06320-BXY_06540,,Bacteroides xylanisolvens,371601,degradation,default,default,default,default,1,yes,7,17,"GH95,GH140,CBM67|GH78|GH33,GH28,GH78|CBM67,GH43_18|GH43,PL1|CE8|PL1_2,GH92",
PUL0190,26920945,"RNA-Seq,RT-PCR,qPCR",FP929033.1,1841730-1872020,pectin,BXY_15570-BXY_15720,,Bacteroides xylanisolvens,371601,degradation,default,default,default,default,1,yes,5,15,"GH51,GH146,GH43|GH43_4,GH43_4,GH51,GH43_29",
PUL0191,26920945,"RNA-Seq,RT-PCR,qPCR",FP929033.1,3988941-4010183,pectin,BXY_31910-BXY_32010,,Bacteroides xylanisolvens,371601,degradation,default,default,default,default,1,yes,5,11,"GH105,CE8,CE8|CE12|CE4,PL1_2,PL1_2",
PUL0192,26920945,"RNA-Seq,RT-PCR,qPCR",FP929033.1,4024208-4079442,pectin,BXY_32120-BXY_32390,,Bacteroides xylanisolvens,371601,degradation,default,default,default,default,1,yes,12,27,"GH106,GH28,GH28,CE12,GH2,GH43_18|GH43_34|GH43|CBM32,GH42,GH28,PL11|PL11_1,PL26,CE12,GH105,PL11_1,GH105",
PUL0193,26920945,"RNA-Seq,RT-PCR,qPCR",FP929033.1,4080557-4141706,pectin,BXY_32430-BXY_32730,,Bacteroides xylanisolvens,371601,degradation,default,default,default,default,1,yes,10,30,"GH2,PL11_1|PL11,GH28,GH117,PL11_1|PL11,GH28,GH105,GH28",
PUL0194,28056108,"enzyme activity assay,gene deletion mutant and growth assay",AE005672.3,2050572-2061389,N-glycan,SP_2141-SP_2146,,Streptococcus pneumoniae,1313,degradation,default,default,default,default,0,yes,5,6,"GH20,GH38,GH125,GH92,GH29",
PUL0195,26691835,RT-PCR,NC_003030.1,444719-451147,cellobiose,CA_C0382-CA_C0386; CelRCA-bglB-celC,,Clostridium acetobutylicum,1488,degradation,default,default,default,default,1,yes,1,5,GH1,
PUL0196,26546429,enzyme activity assay,NC_010999.1,288852-300044,lacto-n-triose,LCABL_RS01420-LCABL_RS01465,,Lactobacillus casei,1582,degradation,default,default,default,default,1,yes,2,10,"GH20,CE9",
PUL0197,17233733,gene deletion mutant and growth assay,NC_004350.2,1488085-1497922,maltose,SMU_1564-SMU_1571,,Streptococcus mutans,1309,degradation,default,default,default,default,1,yes,2,7,"GT35,GH77",
PUL0198,26706815,"NMR,sugar utilization assay",AB812043,1-14195,O-antigen,BAQ01414.1-BAQ01426.1,,Escherichia coli,562,biosynthesis,default,default,default,default,1,yes,6,13,"GT2,GT2",
PUL0199,26458373,"enzyme activity assay,liquid chromatography and mass spectrometry",NC_007912.1,4176251-4200317,alginate,SDE_RS17125-SDE_RS17210,,Saccharophagus degradans,86304,degradation,default,default,default,default,1,yes,7,17,"CBM16|PL18|CBM32,PL6_1|PL6,PL6_1|PL6,PL17|PL17_2,PL6_1|PL6,PL7_5",
PUL0200,26451883,"NMR,sugar utilization assay",AB812066,1-14841,O-antigen,BAQ01806.1-BAQ01818.1,,Escherichia coli,562,biosynthesis,default,default,default,default,0,yes,4,13,"GT2,GT2",
PUL0201,26382081,"NMR,sugar utilization assay",AB812070.1,1-13820,O-antigen,BAQ01872.1-BAQ01884.1,,Escherichia coli,562,biosynthesis,default,default,default,default,1,yes,4,13,GT2,
PUL0202,26342864,"NMR,sugar utilization assay",AB811619,1-19971,O-antigen,BAQ00920.1-BAQ00938.1,,Escherichia coli,562,biosynthesis,default,default,default,default,0,yes,4,19,"GT4,GT2",
PUL0203,25841008,"qPCR,thin layer chromatography,substrate binding assay",NC_004663.1,2173001-2186087,exopolysaccharide,BT_1759-BT_1765,,Bacteroides thetaiotaomicron,818,degradation,default,default,default,default,1,yes,3,7,"GH32,GH32,GH32",
PUL0204,25841008,"qPCR,thin layer chromatography,substrate binding assay",NC_004663.1,4800873-4814851,exopolysaccharide,BT_3698-BT_3704,,Bacteroides thetaiotaomicron,818,degradation,default,default,default,default,1,yes,3,7,GH97,
PUL0205,25841008,"qPCR,thin layer chromatography,substrate binding assay",NC_004663.1,3910956-3923822,exopolysaccharide,BT_3085-BT_3090,,Bacteroides thetaiotaomicron,818,degradation,default,default,default,default,1,yes,3,6,"GH31,GH31,GH66",
PUL0206,25736888,gene deletion mutant and growth assay,CP002113.1,1883302-1899913,mucin,Ccan_17420-Ccan_17490,,Capnocytophaga canimorsus,28188,degradation,default,default,default,default,1,yes,1,8,GH2,
