Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools
FE838_RS22395	3.2.1.80:10|3.2.1.65:10|3.2.1.26:7|3.2.1.153:5|3.2.1.64:3|2.4.1.99:3	GH32(140-440)	GH32_e16	GH32+3.2.1.26+3.2.1.64+3.2.1.80	3
FE838_RS24055	-	GH127(39-620)	GH127_e7	GH127	3
FH716_RS19500	-	GH92(229-424)+GH92(429-686)	GH92_e11	GH92	3
FH717_RS05140	-	GT4(213-359)	GT4_e2216	-	2
FH717_RS05145	-	GT4(221-357)	GT4_e2416	GT4	3
FH717_RS21930	3.2.1.4:19|3.2.1.91:5|3.2.1.73:3|3.2.1.-:2	GH9(393-828)	GH9_e1	GH0	3
FH717_RS21935	3.1.1.73:1|3.2.1.55:1|3.2.1.8:1|-	CE1(151-370)	CBM48_e68+CE1_e22	CBM48+CE0+CE6	3
FH717_RS21940	-|-|3.2.1.156:1	GH43_2(31-300)+GH8(512-842)	GH43_e229+CBM6_e71+GH8_e12	CBM6+GH43_2+GH8	3
FH717_RS21965	3.2.1.-:3|3.2.1.63:2	GH95(18-749)	GH95_e1	GH95	3
FH717_RS24695	3.2.1.55:2	GH43_2(35-301)	GH43_e327	GH43_2	3
FH720_RS00600	-	GT4(186-343)	GT4_e1477	GT4	3
FH720_RS25615	-	GT4(7-159)	GT4_e3584	GT4	3
FH721_RS26940	-	GT4(2-63)	GT4_e1800	-	2
FH722_RS08365	-	GT4(201-351)	GT4_e2130	GT4	3
FY431_RS02355	-	GT4(214-375)	GT4_e1861	GT4	3
FY431_RS03250	-	GH24(37-162)	GH24_e203	GH24	3
FY431_RS09765	3.2.1.55:2|3.2.1.37:1|-	GH43_12(30-311)+CBM91(341-529)	GH43_e259+CBM91_e28	GH43_12	3
FY431_RS22315	3.2.1.23:2	GH2(71-689)	GH2_e137	GH2	3
FY431_RS23965	-	GH179(57-231)	-	-	1
FY431_RS23975	-	GT4(184-332)	GT4_e1000	GT4	3
G7876_RS19370	3.2.1.31:2	GH2(22-556)	GH2_e41	GH2	3
GPL09_RS09740	2.4.1.-:1	GT2(9-170)	GT2	-	2
GPL09_RS09755	-	GT2(7-136)	GT2	-	2
GPL09_RS14345	-	GH89(3-607)	GH89_e9	GH89	3
GPL09_RS15810	-	GT2(12-122)	GT2	GT2	3
GPL09_RS15830	-	GT4(164-301)	GT4_e3900	GT4	3
GPL09_RS15835	-	GT4(183-327)	GT4_e1117	GT4	3
GPL09_RS15845	-	GT2(4-138)	GT2	GT2	3
GPL09_RS18985	-	GT4(178-314)	GT4_e1005	-	2
GPL12_RS20045	-	GT2(5-120)	GT2	-	2
HMPREF9007_RS03415	-	GT2(5-170)	GT2	GT2	3
HMPREF9007_RS03435	-	GT2(3-108)	GT2	GT2	3
HMPREF9007_RS06560	-	CBM6(307-450)	CBM6_e41	CBM6	3
HMPREF9007_RS16425	-	CE8(32-313)	CE8_e86	CE8	3
HMPREF9007_RS17690	-	GT26(50-226)	GT26_e12	GT26	3
HMPREF9007_RS17695	-	GT4(158-305)	GT4_e2955	GT4	3
HMPREF9007_RS20470	3.2.1.22:1	GH97(29-659)	GH97_e1	GH97	3
HRU96_RS00505	-	CE15(80-404)	CE15_e13	CE0	3
HRU96_RS03165	-	GH78(220-713)	GH78_e62	GH78	3
HRU96_RS12215	3.2.1.-:1	GH16_3(18-245)	GH16_e321	GH16_3	3
HRU96_RS12380	-	GT4(282-359)	GT4_e2349	GT4	3
HRU96_RS12420	2.4.1.69:1	GT11(4-271)	GT11_e40	GT11	3
HRU96_RS15190	-	GT4(179-320)	GT4_e3009	GT4	3
HRU96_RS18730	-	GH109(130-276)	GH109_e7	-	2
HRU96_RS18865	-	GH3(108-328)	GH3_e6	GH3	3
I1W55_RS00250	3.2.1.31:1|3.2.1.185:1|3.2.1.31:1|3.2.1.185:1|3.2.1.31:1|3.2.1.185:1	GH137(20-368)+GH2(371-807)+CBM57(1073-1234)+CBM97(1281-1405)	GH137_e0+GH2_e99+CBM57_e0	CBM57+GH137+GH2	3
I1W55_RS02405	-	GH43_3(322-612)	GH43_e196	GH43_3	3
I1W55_RS17065	-|3.2.1.23:35	GH2(221-1075)	CBM13_e174+GH2_e1	CBM13+GH2	3
I1W55_RS25170	-	GT4(182-328)	GT4_e1919	GT4	3
I1W55_RS25180	-	GT4(204-351)	GT4_e2216	GT4	3
I1W55_RS25185	-	GT4(53-197)	GT4_e1826	-	2
I2D73_RS01190	-	GT2(16-137)	GT2	GT2	3
I2D73_RS01235	-	GH93(62-332)	GH93_e16	CBM0	3
I2D73_RS01265	-	GH43_31(45-306)	GH43_e180	GH43_31	3
I2D73_RS01275	3.2.1.146:1	GH43_3(26-309)	GH43_e310	GH43_3	3
I2D73_RS01280	-	GH159(32-260)	GH159_e7	GH159	3
I2D73_RS01315	-	GH116(413-780)	GH116_e6	GH116	3
I2D73_RS01330	-	GH146(50-571)	GH146_e3	GH146	3
I2D73_RS01335	-|-	GH43_26(27-326)+GH106(539-1104)	GH43_e80+GH106_e18	GH106+GH43_26	3
I2D73_RS01340	3.2.1.-:3	GH88(67-392)	GH88_e11	GH88	3
I2D73_RS01355	-	GH154(26-385)	GH154_e17	GH154	3
I2D73_RS01380	-	GH105(46-358)	GH105_e29	GH105	3
I2D73_RS01385	-	GH2(51-485)	GH2_e14	GH2	3
I2D73_RS03335	-	GH2(27-788)	GH2_e38	GH2	3
I2D73_RS04960	-	GT2(56-274)	GT2	GT2	3
I2D73_RS07225	-	CBM62(466-535)+CBM62(542-605)	CBM62_e1	CBM62	3
I2D73_RS11025	-	GT2(16-123)	GT2	-	2
I2D73_RS11030	-	GT4(180-328)	GT4_e3584	GT4	3
I2D73_RS11040	-	GT4(190-349)	GT4_e1477	GT4	3
I2D73_RS12965	3.2.1.22:1	GH97(12-655)	GH97_e1	GH97	3
I2D73_RS12975	-	CE20(101-356)	CE20_e10	CE20	3
I2D73_RS12980	-	GH110(26-574)	GH110_e7	GH110	3
I2D73_RS15955	-	GT4(195-346)	GT4_e2685	GT4	3
I2D73_RS15965	-	GT2(6-135)	GT2	GT2	3
I2D73_RS15975	-	GT4(186-337)	GT4_e943	GT4	3
I2D73_RS15985	-	GT4(194-350)	GT4_e395	GT4	3
I2D73_RS23530	-	GT4(193-340)	GT4_e4053	GT4	3
I2D73_RS23660	3.2.1.25:4	GH2(26-737)	GH2_e80	GH2	3
I2D73_RS23670	-	CE20(103-362)	CE20_e40	CE20	3
I2D73_RS23675	-	GH173(76-344)	GH173_e2	GH173	3
I2D73_RS23680	2.4.1.-:1	GH130_5(3-335)	GH130_e18	GH130	3
I2D73_RS24650	-	GT2(5-122)	GT2	-	2
I2D74_RS24955	-	GT4(212-370)	GT4_e1861	GT4	3
I2D75_RS02040	-	GT2(5-110)	GT2	-	2
I2D75_RS02060	-|-	GT4(186-331)+CE4(420-547)	GT4_e1008+CE4_e274	CE0+GT4	3
I2D87_RS23350	-	CE1(88-332)	CE1_e22	-	2
I2D87_RS23360	-	CE1(45-233)	-	-	1
I2E52_RS01085	-	GT83(15-422)	GT83_e29	GT83	3
I2E52_RS01100	-	GT83(17-457)	GT83_e95	GT0	3
I2E52_RS01105	-	GT2(10-143)	GT2	GT2	3
I2E52_RS03605	-	GT4(166-275)	GT4_e3464	-	2
I2E52_RS09275	4.2.2.-:3	PL27(64-687)	PL27_e0	PL27	3
I2E52_RS09780	-	GH28(197-450)	GH28_e57	GH28	3
I2E52_RS09825	-	GH28(173-453)	GH28_e57	GH28	3
I2E52_RS10075	-	GT4(224-354)	GT4_e2975	GT4	3
I2E52_RS10100	-	GT2(11-133)	GT2	GT2	3
I2E52_RS10110	-	GT32(29-103)	GT32_e178	GT32	3
I2E52_RS10115	-	GT32(29-105)	GT32_e178	GT32	3
I2E52_RS13930	-	GH31_5(260-730)	GH31_e10	GH31_4	3
I2E52_RS17780	-	GH127(39-570)	GH127_e2	GH127	3
I2E52_RS18190	-	CE1(507-718)	-	GH43_29	2
I2E52_RS18225	3.2.1.-:1	GH105(24-350)	GH105_e39	GH105	3
I2E52_RS18235	-	GH136(28-459)	GH136_e46	GH136	3
I2E52_RS18535	-	GH38(38-205)	GH38_e23	GH38	3
I2E52_RS19065	-	CE20(102-248)+CE20(406-544)	CE20_e20	CE20	3
I2E52_RS19110	3.2.1.197:4	GH130_3(62-373)	GH130_e20	GH130_3	3
I2E52_RS22730	-	GT4(174-319)	GT4_e2555	-	2
I2E52_RS22745	-	CE4(50-179)	CE4_e87	-	2
I2E52_RS22750	-	GT2(22-138)	GT2	GT2	3
I2E52_RS25100	-	GT2(4-163)	GT2	GT2	3
I2E52_RS25110	-	GT2(5-134)	GT2	GT2	3
I2F03_RS01650	3.2.1.37:1	GH2(28-646)	GH2_e42	GH2	3
I2F88_RS03205	-	GH106(333-1076)	GH106_e46	GH106	3
I2F88_RS16460	-	GH123(45-534)	GH123_e15	GH123	3
I2G85_RS16755	-	GH18(78-253)	GH18_e46	GH18	3
I2G85_RS21545	-	GT2(5-163)	GT2	-	2
I2G85_RS21575	-	GT4(195-312)	GT4_e150	-	2
I2G92_RS22820	-	GT4(173-323)	GT4_e633	GT4	3
I2H14_RS02685	3.2.1.51:1	GH141(21-578)	GH141_e22	GH141	3
I2I37_RS21845	3.2.1.40:1|3.2.1.40:8|3.1.1.73:2	GH78(292-838)	CBM67_e28+GH78_e80	GH78	3
I2I37_RS22835	-	GT2(5-139)	GT2	GT2	3
I2I37_RS22840	-	GT25(2-175)	GT25_e69	GT25	3
I2I37_RS22845	-	GT32(19-96)	GT32_e86	GT32	3
I2I37_RS22865	-	GT2(8-116)	GT2	GT2	3
I2I37_RS24330	-	GT4(187-331)	GT4_e2892	-	2
I2I37_RS24350	-	GT2(10-139)	GT2	-	2
I4W64_RS03830	3.2.1.-:1	GH2(43-642)	GH2_e50	GH2	3
I4W64_RS10710	-	GH95(49-690)	GH95_e9	GH95	3
I4W67_RS07540	-	GH43_35(21-320)	GH43_e65	GH43_35	3
I4W67_RS08815	3.2.1.20:1	GH31_1(177-590)	GH31_e23	GH31	3
I4W67_RS14585	-	GT2(3-110)	GT2	-	2
I4W67_RS18355	-|-|-	GH29(50-364)	GH29_e5+CBM32_e121+CBM32_e126	GH29	3
I4W67_RS19055	3.2.1.-:2|3.2.1.55:1	GH43_29(37-310)	GH43_e22	GH43_19+GH43_29	3
I4W67_RS19060	-	GH30_2(35-476)	GH30_e11	GH30_2	3
I4W67_RS20540	3.2.1.55:5	GH51_2(235-676)	GH51_e47	GH51_2	3
I4W67_RS20545	3.2.1.55:5	GH51_2(195-650)	GH51_e47	GH51	3
I4W67_RS20550	3.2.1.55:3|3.2.1.55:3	GH43_19(76-306)+GH43_34(333-622)	GH43_e159+GH43_e159	GH43_19+GH43_34	3
I4W67_RS20555	3.2.1.23:3|-	GH35(13-325)	GH35_e43+CBM32_e42	CBM32+GH35	3
I4W67_RS24775	-	GH2(213-675)	GH2_e7	GH2	3
I4W67_RS24790	-	GH2(3-577)	GH2_e55	GH2	3
I4W67_RS26630	-|3.2.1.55:2|-	GH92(257-741)+GH43_9(755-1018)+CBM91(1040-1215)	GH92_e19+GH43_e194+CBM91_e36	GH92	3
I6F00_RS09615	3.2.1.55:5	GH51_2(374-819)	GH51_e47	GH51_2	3
INE82_RS08660	3.2.1.-:2	GH127(44-607)	GH127_e5	GH127	3
J8986_RS01655	-	GT2(23-127)	GT2	-	2
J8986_RS01685	-	GT4(175-325)	GT4_e1495	-	2
J9A00_RS14110	-|3.2.1.63:5|3.2.1.51:1	GH95(317-980)	CBM32_e165+GH95_e0	GH95	3
J9A10_RS00955	3.2.1.63:2	GH95(34-727)	GH95_e3	GH95	3
J9A10_RS00960	-	GH97(80-635)	GH97_e2	GH97	3
J9A10_RS00965	-|-	CE6(78-169)+CE3(262-480)	CE20_e26+CE3_e27	-	2
J9A10_RS05285	-|-	GH2(22-638)	GH2_e53+CBM32_e28	CBM32+GH2	3
J9A10_RS05290	3.2.1.63:5|3.2.1.51:1	GH95(52-702)	GH95_e0	GH95	3
J9A10_RS18445	-	PL35(393-563)	PL35_e4	PL35	3
J9A10_RS18460	3.2.1.-:3	GH88(82-422)	GH88_e11	GH88	3
J9A10_RS18465	-	GH154(45-400)	GH154_e16	GH154	3
J9A10_RS18495	-	GH95(119-690)	GH95_e9	GH95	3
J9A17_RS00020	3.2.1.-:1	GH3(4-95)	GH3_e57	-	2
J9A17_RS22810	-	GT4(194-350)	GT4_e2305	GT4	3
J9A17_RS22820	2.4.1.-:1	GT2(4-129)	GT2	-	2
J9A17_RS22850	-	GT4(229-378)	GT4_e2842	GT4	3
K0F21_RS10765	-	GT4(9-116)	GT4_e647	-	2
K0F21_RS10780	-	GT4(196-346)	GT4_e1997	GT4	3
K0F21_RS10790	-	GT4(188-322)	GT4_e1928	-	2
K0F21_RS21925	3.2.1.-:3|3.2.1.63:2	GH95(25-760)	GH95_e1	GH95	3
K0F21_RS23615	-	CE1(44-254)	CE1_e22	-	2
K0F21_RS23635	-	GT2(18-181)	GT2	-	2
K0F21_RS23650	-	GT2(1-127)	GT2	-	2
K0F21_RS24260	-	CE8(29-304)	CE8_e83	CE8	3
K0F21_RS24270	-	GH28(76-446)	GH28_e80	GH28	3
K0F21_RS24285	-	GH105(464-808)	GH105_e22	GH105	3
K0F21_RS24290	4.2.2.2:3	PL1_2(58-242)	PL1_e60	PL1_2	3
K0F21_RS24300	4.2.2.2:1	PL10_1(264-515)	PL10_e13	PL10	3
K0F21_RS24305	3.2.1.37:92|3.2.1.55:39|3.2.1.21:1|3.2.1.6:1|3.2.1.73:1	GH3(54-300)	GH3_e0	GH3	3
K0F21_RS24310	-|3.2.1.40:1|3.2.1.-:1|3.2.1.40:1|3.2.1.-:1	CBM67(166-343)+GH78(362-880)+GH33(953-1253)	CBM67_e27+GH78_e2+GH33_e82	GH33+GH78	3
K0F21_RS24750	-	GT4(283-430)	GT4_e3588	GT4	3
K0F21_RS24880	-	GH28(454-746)	GH28_e23	GH28	3
K0F21_RS24885	3.2.1.52:18|3.2.1.-:1	GH20(125-496)	GH20_e12	GH20	3
K0F21_RS24890	3.2.1.21:4	GH3(106-334)	GH3_e208	GH3	3
K0F21_RS24895	3.2.1.52:18|3.2.1.-:1	GH20(151-505)	GH20_e12	GH20	3
K0F31_RS03950	-	GT2(7-122)	GT2	GT2	3
K0F31_RS03955	-	GT4(163-306)	GT4_e1384	GT4	3
K0F31_RS16090	-	CE4(51-187)	CE4_e313	-	2
K0F31_RS23365	-	GT4(184-314)	GT4_e2918	GT4	3
K0F31_RS23370	-	GT4(172-305)	GT4_e2990	-	2
K0F33_RS14780	-	GH24(38-163)	GH24_e168	-	2
K0F33_RS25770	3.2.1.111:8|3.2.1.51:3|-	GH29(40-369)+CBM32(500-599)	GH29_e30+CBM32_e126	GH29	3
K0F71_RS19085	-	GT4(198-306)	GT4_e2006	GT4	3
K0F71_RS19095	-	GT4(204-321)	GT4_e3072	-	2
K0F71_RS19115	-	GT4(203-349)	GT4_e420	GT4	3
K0G22_RS02335	-	CE1(87-333)	CE1_e22	-	2
K0G22_RS15905	-	GH20(312-722)	GH20_e108	GH20	3
K0G22_RS15910	3.2.1.22:11	GH36(28-711)	GH36_e36	GH36	3
K0G22_RS15915	-	GH2(41-474)	GH2_e14	GH2	3
K0G22_RS15920	-	GH43_26(40-348)	GH43_e5	GH43_26	3
K0G22_RS15925	3.2.1.21:4	GH3(175-434)	GH3_e198	GH3	3
K0G22_RS15935	-	GH97(41-683)	GH97_e21	GH97	3
K0G22_RS15945	3.2.1.22:1	GH97(23-647)	GH97_e5	GH97	3
K0G22_RS15990	3.2.1.21:12|3.2.1.-:6	GH3(56-276)	GH3_e10	GH3	3
K0G22_RS16905	-|-	GH43_10(21-295)+CBM91(323-511)	GH43_e4+CBM91_e35	CBM91+GH43_10	3
K0G22_RS19280	-|-	CBM61(48-184)+GH53(195-534)	CBM61_e8+GH53_e19	CBM61+GH53	3
K0G22_RS19305	-	GH35(60-426)	GH35_e8	GH35	3
K0G22_RS19310	-	CE4(46-167)	CE4_e17	-	2
K0G22_RS19315	3.2.1.89:1	GH147(20-791)	GH147_e1	GH147+3.2.1.89	3
K0G22_RS22840	-	CE4(81-291)	CE4_e70	-	2
K0G22_RS22875	-	GT4(207-347)	GT4_e1452	-	2
K0G22_RS22890	-	GT2(5-145)	GT2	GT2	3
K0G24_RS06355	3.2.1.111:1	GH29(16-359)	GH29_e7	GH29	3
K0G24_RS06375	-	GH163(221-485)	GH163_e13	GH163	3
K0G24_RS09805	-	GT2(247-386)	GT2	GT2	3
K0G24_RS16540	-|-	GH95(41-781)+GH95(935-1510)	GH95_e14+GH95_e4	GH95	3
K0G24_RS16545	-|-	GH120(308-397)	GH120_e7+GH120_e3	GH120	3
K0G24_RS16550	-	GH2(46-585)	GH2_e148	GH2	3
K0G24_RS16570	-	GH35(40-371)	GH35_e21	GH35	3
K0G24_RS20595	-	GT2(6-145)	GT2	GT2	3
K0G45_RS05700	-	GH73(112-210)	GH73_e10	GH0	3
K0G47_RS03070	3.2.1.-:1	GH92(231-704)	GH92_e26	GH92	3
K0G47_RS03075	3.2.1.113:6|3.2.1.-:1	GH92(235-739)	GH92_e18	GH92	3
K0G47_RS03080	-	CE20(102-224)+CE20(409-544)	CE20_e20	CE20	3
K0G47_RS03130	-	GH106(324-1041)	GH106_e46	GH106	3
K0G47_RS03135	3.2.1.40:1|-	CBM67(165-327)+GH78(352-855)	CBM67_e28+GH78_e6	GH78	3
K0G47_RS03140	-|-	CBM67(141-340)+GH78(366-861)	CBM67_e3+GH78_e15	CBM67+GH78	3
K0G47_RS03150	-|-	GH2(69-790)+CBM32(766-879)	GH2_e98+CBM32_e133	CBM32+GH2	3
K0G47_RS03155	3.2.1.-:1	GH92(291-773)	GH92_e20	GH92	3
K0G47_RS03160	-	GH38(43-190)	GH38_e23	GH38	3
K0G47_RS03790	-	CE4(36-158)	CE4_e51	CE4	3
K0G47_RS03810	-	GT2(21-158)	GT2	GT2	3
K0G47_RS06320	-	GT4(203-356)	GT4_e1713	GT4	3
K0G47_RS06325	-	GT4(179-332)	GT4_e3474	GT4	3
K0G47_RS06340	-	GT2(3-123)	GT2	GT2	3
K0G47_RS06345	-	GT4(180-313)	GT4_e1005	GT4	3
K0G47_RS06360	-	GT2(5-137)	GT2	GT2	3
K0G47_RS06675	-	GT4(193-332)	GT4_e3031	GT4	3
K0G47_RS06680	-	GT2(12-122)	GT2	GT2	3
K0G47_RS08020	-	GT2(4-119)	GT2	-	2
K0G47_RS08035	-	GT4(204-363)	GT4_e1477	GT4	3
K0G47_RS08045	-	GT4(183-346)	GT4_e1477	GT4	3
K0G47_RS08055	-	GT4(174-324)	GT4_e1162	GT4	3
K0G47_RS08060	-	GT4(192-333)	GT4_e588	GT4	3
K0G47_RS09330	-	GH24(9-135)	GH24_e50	GH24	3
K0G47_RS11775	-|-	CBM51(29-161)+GH27(373-636)	CBM51_e35+GH27_e45	CBM51+GH27	3
K0G47_RS12485	-	GT2(4-148)	GT2	GT2	3
K0G47_RS12495	2.4.1.40:1	GT6(2-224)	GT6_e3	GT6	3
K0G47_RS13750	-	GT4(225-357)	GT4_e2975	GT4	3
K0G47_RS14065	2.4.1.-:1	GT2(31-160)	GT2	GT2	3
K0G47_RS14070	-	GT11(25-289)	GT11_e33	GT11	3
K0G47_RS14880	3.2.1.22:1|3.2.1.22:1	GH27(142-385)	GH27_e3+CBM35_e26	CBM35+GH27	3
K0G47_RS19200	3.2.1.22:11	GH36(28-715)	GH36_e36	GH36	3
K0G47_RS19220	-	GH31_15(196-619)	GH31_e65	GH31	3
K0G47_RS19245	-	GH43_18(64-304)	GH43_e62	GH43_18	3
K0G47_RS19290	-	GH30_6(57-509)	GH30_e7	GH30_6	3
K0G47_RS20325	-	GT2(12-128)	GT2	GT2	3
K0G47_RS22220	-	GT26(55-218)	GT26_e4	GT26	3
K0G47_RS22230	-	GT4(173-317)	GT4_e4050	GT4	3
K0G47_RS23875	-	GH2(54-555)	GH2_e119	GH2	3
K0G56_RS09555	-|-	GH16_3(29-280)+GH43_24(308-599)	GH16_e36+GH43_e236	GH16_3+GH43_24	3
K0G56_RS25085	-	GT4(205-344)	GT4_e4053	GT4	3
K0G56_RS25090	-	GT4(223-331)	GT4_e687	GT0	3
K0G56_RS25125	-	PL38(64-339)	PL38_e21	PL38	3
K0G62_RS16560	2.4.1.-:1	GT32(35-109)	GT32_e31	GT32	3
K0G71_RS19315	-	CE4(4-142)	CE4_e21	-	2
K0G71_RS19345	-	PL12(395-536)	PL12_e6	PL12	3
K0G90_RS21625	-|-	GH172(278-506)	GH172_e2+GH172_e8	GH172	3
K0G90_RS24875	-	GT2(8-147)	GT2	GT2	3
K0G90_RS24880	-	GT32(76-150)	GT32_e160	GT32	3
K0G90_RS26055	-	GT2(15-169)	GT2	GT2	3
K0G92_RS16060	-	GT4(296-371)	GT4_e2349	GT4	3
K0G92_RS16070	-	GT4(197-343)	GT4_e215	-	2
K0G94_RS08135	-	GT2(4-132)	GT2	GT2	3
K0G94_RS08140	-	GT2(9-106)	GT2	GT2	3
K0G94_RS08160	-	GT4(193-340)	GT4_e995	GT4	3
K0G94_RS08175	-	GT4(171-321)	GT4_e3808	GT4	3
K0G94_RS08180	2.4.1.-:1	GT2(4-100)	GT2	GT2	3
K0G94_RS08185	-	GT74(2-271)	GT74_e0	GT0	3
K0G94_RS08205	2.4.1.69:1	GT11(1-348)	GT11_e40	GT11	3
K0H35_RS20370	-	GT4(199-338)	GT4_e2426	GT4	3
K0H35_RS20380	-	GT4(242-375)	GT4_e2349	GT4	3
K0H35_RS20385	-	GT4(189-343)	GT4_e1825	GT4	3
K0H35_RS20390	-	GT2(4-111)	GT2	GT2	3
K6V27_RS04890	3.2.1.22:1	GH97(14-648)	GH97_e5	GH97	3
K6V27_RS04895	3.2.1.113:1|3.2.1.-:1|3.2.1.113:1|3.2.1.-:1	GH38(14-244)	GH38_e34+CBM32_e185	CBM32+GH38	3
K6V27_RS04900	-|-	GH43_28(49-304)+CBM32(349-464)	GH43_e85+CBM32_e190	GH43_28	3
K6V27_RS04905	3.2.1.23:1	GH2(22-693)	GH2_e125	GH2	3
K6V27_RS04915	-|-|-	CBM88(221-303)+CBM88(311-397)+CBM88(406-488)	CBM88_e1+CBM88_e1+CBM88_e1	CBM88+CE0	3
K6V27_RS04945	-	GH3(58-266)	GH3_e137	GH3	3
K6V27_RS04955	3.2.1.101:2	GH76(70-376)	GH76_e42	GH76	3
K6V27_RS12420	3.2.1.185:1	GH146(49-554)	GH146_e0	GH146	3
K6V27_RS13285	-	GH2(55-926)	GH2_e30	GH2	3
KFX40_RS04095	3.2.1.67:1	GH28(85-488)	GH28_e64	GH28	3
KFX40_RS04100	3.2.1.37:92|3.2.1.55:39|3.2.1.21:1|3.2.1.6:1|3.2.1.73:1	GH3(61-306)	GH3_e0	GH3	3
KFX40_RS17745	-	GH2(24-637)	GH2_e31	GH2	3
KFX40_RS22460	4.2.2.2:3	PL1_2(371-555)	PL1_e60	PL1_2	3
KFX43_RS16790	-	GT4(188-338)	GT4_e1477	-	2
KFX43_RS16795	-	GT4(166-319)	GT4_e2936	-	2
KFX44_RS03315	-	GH130_14(6-335)	GH130_e12	GH130_14	3
KFX44_RS03320	-	GT4(187-351)	GT4_e535	GT4	3
KFX44_RS03885	3.2.1.55:2|3.2.1.55:1|-	GH43_18(67-301)+GH43_34(318-611)	GH43_e84+GH43_e191+CBM32_e123	GH43_18+GH43_34	3
KFX44_RS03910	-	GH35(50-416)	GH35_e8	GH35	3
KFX44_RS11450	-	GH177(46-205)	-	-	1
KFX45_RS00240	-	CE7(528-826)	CE7_e10	CE7	3
KFX45_RS00250	3.2.1.22:1	GH31_19(144-530)	GH31_e46	GH31_19	3
KFX45_RS00255	3.2.1.-:2	GH110(2-574)	GH110_e12	GH110	3
KFX45_RS00260	-	GH3(60-268)	GH3_e137	GH3	3
KFX45_RS00265	-	GH89(64-715)	GH89_e5	GH89	3
KFX45_RS00270	-	GH3(108-328)	GH3_e6	GH3	3
KFX45_RS10410	-	GT4(215-372)	GT4_e1861	GT4	3
KFX45_RS17925	-	GT4(238-388)	GT4_e1043	GT4	3
KFX45_RS17940	-	GT4(185-338)	GT4_e1825	GT4	3
KFX60_RS20865	-	GT4(201-347)	GT4_e2551	GT4	3
KFX60_RS20875	-	GT4(177-329)	GT4_e1250	-	2
KFX61_RS18665	-	GH97(26-630)	GH97_e24	GH97	3
KFX78_RS01570	-	GH2(24-585)	GH2_e49	GH2	3
KFX78_RS02865	-	GH73(105-204)	GH73_e10	GH0	3
KFX78_RS24060	-	GH167(12-742)	GH167_e3	GH167	3
KFX78_RS27015	-	GH167(52-772)	GH167_e3	GH167	3
KFX78_RS28535	-	GT25(4-176)	GT25_e69	GT25	3
KFX89_RS03470	-	CBM32(336-463)	CBM32_e44	CBM32	3
KFX89_RS05970	3.2.1.-:3|3.2.1.63:2	GH95(21-789)	GH95_e1	GH95	3
KFX89_RS07620	3.2.1.55:2|-|-	GH43_9(25-288)+CBM91(310-485)+GH43_19(537-792)	GH43_e194+CBM91_e36+GH43_e186	GH43_19+GH43_9	3
KFX89_RS07795	-	GT2(4-169)	GT2	GT2	3
KFX89_RS11665	-	CBM32(257-385)	CBM32_e75	CBM32	3
KGH28_RS11705	3.2.1.40:3	GH78(191-683)	GH78_e1	GH78	3
KGH32_RS05510	-	GT1(50-409)	GT1_e173	GT1	3
KGH32_RS13320	3.2.1.-:2	GH16_3(41-272)	GH16_e21	GH16	3
KGH32_RS13495	-	GT2(8-117)	GT2	GT2	3
KGH32_RS19205	-	GT4(182-329)	GT4_e2495	GT4	3
KGH32_RS19210	-	GT32(20-97)	GT32_e169	GT32	3
KGH32_RS19220	-	GT2(6-140)	GT2	GT2	3
KGH32_RS19225	-	GT2(4-148)	GT2	GT2	3
KGH32_RS19235	-	GT4(204-349)	GT4_e1826	GT4	3
KGH32_RS19245	-	GT2(5-127)	GT2	GT2	3
KHO73_RS25645	-|3.2.1.40:1|3.2.1.-:1|3.2.1.40:1|3.2.1.-:1	CBM67(190-375)+GH78(403-933)+GH33(966-1321)	CBM67_e27+GH78_e2+GH33_e82	CBM67+GH33+GH78	3
KQP59_RS00490	-	GT4(174-313)	GT4_e3009	GT4	3
KQP59_RS00500	-	GT2(6-119)	GT2	GT2	3
KQP59_RS01370	-	GH20(143-477)	GH20_e8	GH20	3
KQP59_RS01390	3.2.1.111:8|3.2.1.51:3|-	GH29(51-372)	GH29_e30+CBM32_e126	GH29	3
KQP59_RS01395	-	GH2(64-908)	GH2_e30	GH2	3
KQP59_RS01400	-	GH20(158-517)	GH20_e135	GH20	3
KQP59_RS01425	-	GH18(297-533)	GH18_e389	GH18	3
KQP59_RS01480	-	GH18(136-418)	GH18_e118	GH18	3
KQP59_RS01485	3.2.1.52:18|3.2.1.-:1	GH20(153-512)	GH20_e12	GH20	3
KQP59_RS01490	-	GH89(61-720)	GH89_e5	GH89	3
KQP59_RS01495	-	GH3(107-327)	GH3_e6	GH3	3
KQP59_RS01505	3.2.1.22:1	GH97(12-642)	GH97_e5	GH97	3
KQP59_RS01510	-	GH20(152-492)	GH20_e16	GH20	3
KQP59_RS01530	-	GH3(109-329)	GH3_e6	GH3	3
KQP59_RS01770	3.2.1.41:14|3.2.1.1:4|3.2.1.68:2|3.2.1.-:2|3.2.1.-:2|3.2.1.68:1|3.2.1.41:1	GH13_14(202-526)	CBM48_e14+GH13_e95	GH13_14	3
KQP59_RS02340	4.2.2.1:1	PL33_1(430-576)	PL33_e0	PL33_1	3
KQP59_RS02415	3.2.1.169:1	GH84(151-443)	GH84_e9	GH84	3
