dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT4_e4001	GT4:11	-	-	139	EXC89_RS27445	393	7.3e-34	1	136	209	351	0.9712230215827338	0.9712230215827338
GT4_e2551	GT4:14	-	-	133	EXC89_RS27455	384	4.4e-33	2	131	210	346	0.9699248120300752	0.9699248120300752
GT4_e3312	GT4:76	-	-	158	EXC89_RS27465	401	1.2e-63	2	150	222	370	0.9367088607594937	0.9367088607594937
GT2	GT2:6	-	-	123	EXC89_RS27825	340	1.4e-36	1	119	8	133	0.959349593495935	0.959349593495935
GT2	GT2:11	-	-	164	EXC89_RS27845	329	2.3e-65	1	164	9	170	0.9939024390243902	0.9939024390243902
GT2	GT2:37|GT101:8	2.4.1.-:1	-	163	EXC89_RS27850	325	7.8e-43	1	161	7	164	0.9815950920245399	0.9815950920245399
GT32_e128	GT32:41	-	-	76	EXC89_RS28175	236	2.2e-37	2	75	22	95	0.9605263157894737	0.9605263157894737
GT4_e3479	GT4:25	-	-	152	F9Z91_RS09435	372	6.5e-70	1	150	192	341	0.9802631578947368	0.9802631578947368
CBM48_e9	CBM48:44|CE0:41|CE6:26|CBM6:6|GH43_29:6	3.1.1.72:2|3.1.1.73:1	glycogen	60	F9Z91_RS23690	254	1.2e-22	2	60	44	102	0.9666666666666667	0.9666666666666667
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	F9Z91_RS23690	254	2.4e-30	3	106	153	249	0.5	0.5
GH97_e5	GH97:103	3.2.1.22:1	alpha-glucan	633	FE838_RS02585	650	0	3	633	16	649	0.995260663507109	0.995260663507109
GH67_e0	GH67:722	3.2.1.139:4|3.2.1.131:3|3.2.1.-:1	xylan, xylan	668	FE838_RS02595	723	7.9e-302	1	667	27	693	0.9970059880239521	0.9970059880239521
GH76_e36	GH76:30	3.2.1.101:3	alpha-mannan	311	FE838_RS02600	518	2e-150	1	311	166	479	0.9967845659163987	0.9967845659163987
GT4_e161	GT4:13	-	-	147	FE838_RS03865	371	1.3e-67	3	146	197	340	0.9727891156462585	0.9727891156462585
GT4_e408	GT4:35	-	-	151	FE838_RS03870	380	9.1e-67	2	150	201	349	0.9801324503311258	0.9801324503311258
GT2	GT2:24	-	-	173	FE838_RS03880	333	3.6e-77	1	172	10	182	0.9884393063583815	0.9884393063583815
GT14_e68	GT14:42|GT2:1	-	-	250	FE838_RS03890	289	1.6e-120	1	249	5	253	0.992	0.992
GT14_e45	GT14:8	-	-	240	FE838_RS03895	287	2.6e-124	1	239	5	242	0.9916666666666667	0.9916666666666667
GT32_e179	GT32:9	-	-	78	FE838_RS03900	314	7.6e-41	1	77	86	162	0.9743589743589743	0.9743589743589743
GT2	GT2:8	-	-	120	FE838_RS03910	267	5.1e-48	1	119	5	125	0.9833333333333333	0.9833333333333333
GT2	GT2:6	-	-	124	FE838_RS03920	328	5.4e-51	1	110	9	116	0.8790322580645161	0.8790322580645161
GT2	GT2:33	-	-	132	FE838_RS03950	324	3.3e-59	1	128	9	136	0.9621212121212122	0.9621212121212122
CBM32_e66	CBM32:5	-	host glycan	129	FE838_RS12660	445	5.4e-82	1	129	310	437	0.9922480620155039	0.9922480620155039
GH3_e1	GH3:5872|GH16:4|CBM6:2|GH144:1	3.2.1.21:20|3.2.1.-:6	beta-glucan, beta-glucan	222	FE838_RS13060	784	2.2e-85	1	221	126	351	0.990990990990991	0.990990990990991
GT2	GT2:12	-	-	145	FE838_RS13665	318	8.3e-46	1	145	9	166	0.993103448275862	0.993103448275862
GT2	GT2:37|GT101:8	2.4.1.-:1	-	163	FE838_RS13675	311	2.2e-44	1	161	6	163	0.9815950920245399	0.9815950920245399
GT101_e12	GT101:67|GT2:1	-	-	224	FE838_RS13690	312	6.7e-90	1	224	55	288	0.9955357142857143	0.9955357142857143
GT2	GT2:10	-	-	224	FE838_RS13695	327	1.7e-41	1	197	10	203	0.875	0.875
GT2	GT2:24	-	-	173	FE838_RS13700	327	3.5e-59	1	172	5	177	0.9884393063583815	0.9884393063583815
GT4_e408	GT4:35	-	-	151	FE838_RS13710	375	9.4e-65	2	150	199	347	0.9801324503311258	0.9801324503311258
GT4_e161	GT4:13	-	-	147	FE838_RS13715	374	4.7e-62	3	146	197	340	0.9727891156462585	0.9727891156462585
GT4_e3479	GT4:25	-	-	152	FE838_RS13720	372	2.1e-69	1	151	188	338	0.9868421052631579	0.9868421052631579
GH27_e4	GH27:6|CBM51:1	-	-	314	FE838_RS13770	846	8.9e-180	1	314	522	820	0.9968152866242038	0.9968152866242038
GT4_e3066	GT4:5	-	-	144	FE838_RS15380	384	1.3e-56	1	144	215	358	0.9930555555555556	0.9930555555555556
GT4_e4001	GT4:11	-	-	139	FE838_RS15385	369	2.1e-46	1	126	198	325	0.8992805755395683	0.8992805755395683
GT4_e1576	GT4:5	-	-	150	FE838_RS15395	365	1.1e-82	1	150	188	337	0.9933333333333333	0.9933333333333333
GT2	GT2:16	-	-	181	FE838_RS20235	271	2.6e-81	1	181	7	186	0.994475138121547	0.994475138121547
GT4_e3628	GT4:7	-	-	114	FE838_RS20255	368	1.9e-31	2	112	193	302	0.9649122807017544	0.9649122807017544
GT2	GT2:15	-	-	199	FE838_RS20270	286	4.2e-42	2	197	6	199	0.9798994974874372	0.9798994974874372
GT4_e2031	GT4:5	-	-	153	FE838_RS20295	390	2.6e-74	1	153	211	360	0.9934640522875817	0.9934640522875817
GT2	GT2:41|GT8:12	-	-	158	FE838_RS20300	346	7.7e-54	1	156	10	172	0.9810126582278481	0.9810126582278481
GT2	GT2:6	-	-	135	FE838_RS21790	304	5.9e-56	1	130	5	129	0.9555555555555556	0.9555555555555556
GT2	GT2:11	-	-	164	FE838_RS21800	331	1.2e-59	1	162	11	170	0.9817073170731707	0.9817073170731707
GH32_e16	GH32:1098|CBM66:301|CBM38:114	3.2.1.80:10|3.2.1.65:10|3.2.1.26:7|3.2.1.153:5|3.2.1.64:3|2.4.1.99:3	fructan, fructan, fructan, fructan, fructan, fructan	316	FE838_RS22395	628	1e-131	4	314	141	448	0.9810126582278481	0.9810126582278481
GH127_e7	GH127:58|GH51:3	-	-	561	FE838_RS24055	688	4.9e-299	1	561	40	621	0.9982174688057041	0.9982174688057041
GH92_e11	GH92:47	-	-	450	FH716_RS19500	690	1.6e-136	3	442	242	685	0.9755555555555555	0.9755555555555555
GT4_e2216	GT4:26	-	-	146	FH717_RS05140	388	2.7e-32	2	144	216	359	0.9726027397260274	0.9726027397260274
GT4_e2416	GT4:8	-	-	138	FH717_RS05145	392	3.4e-35	2	134	223	356	0.9565217391304348	0.9565217391304348
GH9_e1	GH9:708|CBM4:367|CBM2:150|CBM10:15|CBM3:10|CBM37:10|CBM32:3|CBM30:2|GH3:1|CBM5:1|CBM9:1	3.2.1.4:19|3.2.1.91:5|3.2.1.73:3|3.2.1.-:2	cellulose, cellulose, beta-glucan, beta-glucan	463	FH717_RS21930	842	1.4e-18	62	389	436	775	0.7062634989200864	0.7062634989200864
CBM48_e68	CBM48:192|CE0:190|CE6:12|GH10:3|CE1:2|GH62:1	3.1.1.73:1|3.2.1.55:1|3.2.1.8:1	glycogen	61	FH717_RS21935	375	1.6e-24	1	61	51	110	0.9836065573770492	0.9836065573770492
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	FH717_RS21935	375	1.3e-52	3	206	161	369	0.9854368932038835	0.9854368932038835
GH43_e229	CBM6:49|GH43_2:49|GH8:5|GH43:1	-	-	273	FH717_RS21940	854	6.1e-149	1	273	32	301	0.9963369963369964	0.9963369963369964
CBM6_e71	CBM6:55|GH43_2:53|GH8:5|GH43:2	-	beta-glucan, xylan, cellulose	99	FH717_RS21940	854	2.4e-26	2	98	346	442	0.9696969696969697	0.9696969696969697
GH8_e12	GH8:49|GH43_2:6|CBM6:5|CE15:4	3.2.1.156:1	xylan	327	FH717_RS21940	854	2.5e-184	1	327	516	843	0.9969418960244648	0.9969418960244648
GH95_e1	GH95:1763|CBM13:26|CBM2:14|CE6:11|CBM6:7|CBM32:5|CE8:2|GH29:1|CE12:1|CBM5:1|GH1:1	3.2.1.-:3|3.2.1.63:2	pectin, xylan, xyloglucan, host glycan	743	FH717_RS21965	815	0	2	729	19	749	0.9784656796769852	0.9784656796769852
GH43_e327	GH43_2:71|CBM6:10|GH43:10|CBM42:1|GH43_34:1|CBM35:1|GH43_29:1	3.2.1.55:2	xylan	267	FH717_RS24695	310	2.3e-144	1	267	36	302	0.9962546816479401	0.9962546816479401
GH24_e152	GH24:9	-	-	125	FH719_RS19260	174	6.3e-68	1	125	43	167	0.992	0.992
GT4_e1477	GT4:11	-	-	159	FH720_RS00600	377	1e-48	4	158	190	345	0.9685534591194969	0.9685534591194969
GT4_e3584	GT4:10	-	-	151	FH720_RS25615	191	1.1e-56	2	150	9	157	0.9801324503311258	0.9801324503311258
GT4_e1800	GT4:638|GT2:1	-	-	166	FH721_RS26940	77	1.5e-35	81	152	1	76	0.42771084337349397	0.42771084337349397
GT4_e2881	GT4:6	-	-	123	FH722_RS08340	405	1.2e-42	2	122	251	371	0.975609756097561	0.975609756097561
GT4_e2130	GT4:25	-	-	149	FH722_RS08365	377	3.8e-53	3	148	203	348	0.9731543624161074	0.9731543624161074
GH73_e10	GH73:59|CBM50:1	-	-	126	FIB20_RS09480	216	3.5e-25	2	125	115	211	0.9761904761904762	0.9761904761904762
GT4_e1861	GT4:6	-	-	158	FY431_RS02355	411	1.9e-74	2	158	216	373	0.9873417721518988	0.9873417721518988
GH24_e203	GH24:151	-	-	126	FY431_RS03250	170	5.4e-71	1	126	38	163	0.9920634920634921	0.9920634920634921
GH43_e259	GH43_12:55|GH43:2	3.2.1.55:2|3.2.1.37:1	xylan, xylan	286	FY431_RS09765	533	1.7e-123	1	286	31	315	0.9965034965034965	0.9965034965034965
CBM91_e28	CBM91:215|GH43_12:206|GH43:7|GH43_14:1	-	xylan	199	FY431_RS09765	533	7.2e-54	1	195	343	529	0.9748743718592965	0.9748743718592965
GH2_e137	GH2:343|CBM32:1|CBM67:1	3.2.1.23:2	beta-galactan	607	FY431_RS22315	869	7.9e-303	2	606	78	680	0.9950576606260296	0.9950576606260296
GT4_e1000	GT4:11	-	-	152	FY431_RS23975	370	3.1e-60	2	149	186	333	0.9671052631578947	0.9671052631578947
GT4_e831	GT4:7	-	-	147	FY431_RS23985	365	2.6e-18	4	110	196	299	0.7210884353741497	0.7210884353741497
GT4_e887	GT4:26	-	-	150	FY431_RS24000	424	2.2e-57	1	149	242	390	0.9866666666666667	0.9866666666666667
GH2_e41	GH2:131	3.2.1.31:2	beta-glucuronan	481	G7876_RS19370	1018	5.2e-277	3	481	25	502	0.9937629937629938	0.9937629937629938
GT2	GT2:37|GT101:8	2.4.1.-:1	-	163	GPL09_RS09740	339	5.2e-46	1	150	10	157	0.9141104294478528	0.9141104294478528
GT2	GT2:6	-	-	127	GPL09_RS09755	334	2.5e-31	1	104	8	113	0.8110236220472441	0.8110236220472441
GH89_e9	GH89:24	-	-	641	GPL09_RS14345	737	1.4e-231	46	638	2	598	0.9235569422776911	0.9235569422776911
GT2	GT2:6	-	-	154	GPL09_RS15810	347	2e-48	1	151	13	169	0.974025974025974	0.974025974025974
GT4_e3463	GT4:7	-	-	144	GPL09_RS15820	379	1.1e-28	1	139	207	341	0.9583333333333334	0.9583333333333334
GT4_e3900	GT4:15	-	-	140	GPL09_RS15830	330	1.7e-55	2	140	164	302	0.9857142857142858	0.9857142857142858
GT4_e1117	GT4:10	-	-	143	GPL09_RS15835	378	3.2e-53	2	140	189	328	0.965034965034965	0.965034965034965
GT2	GT2:54	-	-	141	GPL09_RS15845	258	4.1e-61	1	138	5	143	0.9716312056737588	0.9716312056737588
GH18_e37	GH18:97	-	-	235	GPL09_RS18700	364	8.1e-87	1	234	63	321	0.9914893617021276	0.9914893617021276
GT4_e1005	GT4:9	-	-	143	GPL09_RS18985	347	2.9e-40	2	139	177	314	0.958041958041958	0.958041958041958
GT2	GT2:7	-	-	121	GPL12_RS20045	142	4.2e-51	1	111	6	117	0.9090909090909091	0.9090909090909091
CBM32_e83	CBM32:5	-	host glycan	130	HMPREF2534_RS23000	611	5.5e-16	3	113	455	567	0.8461538461538461	0.8461538461538461
GT2	GT2:28	-	-	230	HMPREF9007_RS03415	271	2.8e-69	1	228	5	233	0.9869565217391304	0.9869565217391304
GT2	GT2:6	-	-	130	HMPREF9007_RS03435	288	1.4e-51	1	128	4	131	0.9769230769230769	0.9769230769230769
GT4_e887	GT4:26	-	-	150	HMPREF9007_RS04175	406	4.5e-56	1	148	224	371	0.98	0.98
CBM6_e41	CBM6:7|GH5:1	-	beta-glucan, xylan, cellulose	136	HMPREF9007_RS06560	455	8.1e-42	1	135	307	450	0.9852941176470589	0.9852941176470589
GT4_e939	GT4:9	-	-	159	HMPREF9007_RS13740	414	1.4e-71	1	158	227	383	0.9874213836477987	0.9874213836477987
GH24_e152	GH24:9	-	-	125	HMPREF9007_RS15320	174	1.8e-70	1	125	43	167	0.992	0.992
CE8_e86	CE8:237|CE12:56|PL1_2:3|PL10_1:2|CBM13:1|GH105:1|CBM6:1	-	-	286	HMPREF9007_RS16425	328	5.7e-133	1	286	33	313	0.9965034965034965	0.9965034965034965
GT26_e12	GT26:20	-	-	176	HMPREF9007_RS17690	256	3e-91	1	176	52	227	0.9943181818181818	0.9943181818181818
GT4_e2955	GT4:6	-	-	148	HMPREF9007_RS17695	339	5.9e-64	1	148	159	306	0.9932432432432432	0.9932432432432432
GT4_e2158	GT4:37	-	-	148	HMPREF9007_RS17710	357	5.5e-33	2	143	186	322	0.9527027027027027	0.9527027027027027
GH97_e1	GH97:229	3.2.1.22:1	alpha-glucan	639	HMPREF9007_RS20470	663	2.6e-247	10	638	33	659	0.9827856025039123	0.9827856025039123
CE15_e13	CE15:18	-	-	361	HRU96_RS00505	411	7.7e-16	3	223	80	279	0.6094182825484764	0.6094182825484764
GH78_e62	GH78:6	-	-	496	HRU96_RS03165	734	0	1	496	221	716	0.9979838709677419	0.9979838709677419
GH16_e321	GH16_3:114|GH16:2|CBM16:1	3.2.1.-:1	host glycan	227	HRU96_RS12215	254	7.4e-110	1	226	19	245	0.9911894273127754	0.9911894273127754
CBM62_e0	CBM62:62	-	xyloglucan, arabinogalactan and galactomannan	69	HRU96_RS12220	648	5.3e-23	4	69	444	510	0.9420289855072463	0.9420289855072463
GT4_e3312	GT4:76	-	-	158	HRU96_RS12375	405	1.1e-58	3	152	226	374	0.9430379746835443	0.9430379746835443
GT4_e2349	GT4:51	-	-	133	HRU96_RS12380	395	7.2e-50	3	131	232	360	0.9624060150375939	0.9624060150375939
GT2	GT2:7	-	-	140	HRU96_RS12385	339	2.5e-69	1	140	8	147	0.9928571428571429	0.9928571428571429
GT11_e40	GT11:171|GT6:2|GT2:1	2.4.1.69:1	-	283	HRU96_RS12420	277	8.1e-80	4	282	6	273	0.9823321554770318	0.9823321554770318
GH18_e46	GH18:12	-	-	181	HRU96_RS13220	312	4.1e-70	3	180	74	253	0.9779005524861878	0.9779005524861878
GT2	GT2:16	-	-	181	HRU96_RS15185	273	8.1e-82	1	181	7	185	0.994475138121547	0.994475138121547
GT4_e3009	GT4:5	-	-	141	HRU96_RS15190	349	1.7e-76	3	140	178	315	0.9716312056737588	0.9716312056737588
GH109_e7	GH109:31	-	-	390	HRU96_RS18730	448	1.6e-20	3	146	132	273	0.36666666666666664	0.36666666666666664
GT4_e939	GT4:9	-	-	159	HRU96_RS18735	406	5.4e-29	4	155	219	370	0.949685534591195	0.949685534591195
GT4_e2535	GT4:12	-	-	146	HRU96_RS18740	365	6.9e-18	1	131	187	316	0.8904109589041096	0.8904109589041096
GT4_e779	GT4:21	-	-	147	HRU96_RS18745	401	1.1e-58	2	145	222	366	0.9727891156462585	0.9727891156462585
GH3_e6	GH3:76|GH89:3|CBM32:1	-	-	221	HRU96_RS18865	860	4.2e-111	1	221	109	329	0.995475113122172	0.995475113122172
GH137_e0	GH137:122|CBM57:46|GH2:46|GH106:2	3.2.1.31:1|3.2.1.185:1	pectin	339	I1W55_RS00250	1406	1.2e-160	1	338	22	368	0.9941002949852508	0.9941002949852508
GH2_e99	GH2:100|CBM57:99|GH137:46	3.2.1.31:1|3.2.1.185:1	beta-glucuronan	459	I1W55_RS00250	1406	2.6e-223	2	459	376	824	0.9956427015250545	0.9956427015250545
CBM57_e0	CBM57:99|GH2:99|GH137:46	3.2.1.31:1|3.2.1.185:1	glycosidases	166	I1W55_RS00250	1406	1.4e-72	1	166	1074	1235	0.9939759036144579	0.9939759036144579
GH43_e196	GH43_3:18	-	-	295	I1W55_RS02405	630	8.9e-151	1	295	323	613	0.9966101694915255	0.9966101694915255
CBM13_e174	CBM13:8|GH2:8	-	xylan	150	I1W55_RS17065	1195	3.6e-70	1	150	36	186	0.9933333333333333	0.9933333333333333
GH2_e1	GH2:1541|CBM32:15|CBM51:13|CBM13:8|GH106:2|CBM67:2|GH33:1	3.2.1.23:35	beta-galactan	883	I1W55_RS17065	1195	0	26	883	219	1076	0.970554926387316	0.970554926387316
CBM91_e19	CBM91:6	-	xylan	90	I1W55_RS21000	251	1.6e-16	1	86	102	189	0.9444444444444444	0.9444444444444444
GT4_e1919	GT4:22	-	-	146	I1W55_RS25170	359	1.3e-65	2	146	185	329	0.9863013698630136	0.9863013698630136
GT4_e2216	GT4:26	-	-	146	I1W55_RS25180	375	2e-50	3	145	209	351	0.9726027397260274	0.9726027397260274
GT4_e1826	GT4:7	-	-	149	I1W55_RS25185	225	1.4e-43	2	149	50	199	0.9865771812080537	0.9865771812080537
GT2	GT2:33	-	-	132	I2D73_RS01190	328	1.7e-61	1	127	13	139	0.9545454545454546	0.9545454545454546
GH93_e16	GH93:5|CBM13:1|CBM61:1	-	-	307	I2D73_RS01235	571	4.3e-28	3	306	65	379	0.9869706840390879	0.9869706840390879
GH43_e180	GH43_31:31	-	-	262	I2D73_RS01265	328	1.1e-144	1	261	46	306	0.9923664122137404	0.9923664122137404
GH43_e310	GH43_3:45	3.2.1.146:1	beta-galactan	288	I2D73_RS01275	326	2.4e-142	1	288	27	310	0.9965277777777778	0.9965277777777778
GH159_e7	GH159:35|GH27:1|GH115:1	-	-	219	I2D73_RS01280	342	1.1e-45	2	218	34	260	0.9863013698630136	0.9863013698630136
GH116_e6	GH116:81|CBM38:16	-	-	351	I2D73_RS01315	849	1.5e-173	2	351	422	782	0.9943019943019943	0.9943019943019943
GH146_e3	GH146:24	-	-	522	I2D73_RS01330	656	0	1	522	51	572	0.9980842911877394	0.9980842911877394
GH43_e80	GH43_26:12|GH106:7|CBM66:1	-	-	300	I2D73_RS01335	1545	9.8e-177	1	300	28	327	0.9966666666666667	0.9966666666666667
GH106_e18	GH106:34|GH43_26:7	-	-	565	I2D73_RS01335	1545	1.1e-259	1	561	540	1105	0.9911504424778761	0.9911504424778761
GH88_e11	GH88:672|PL38:10|GH29:7|GH154:5|PL8_3:1	3.2.1.-:3	host glycan	324	I2D73_RS01340	403	8.7e-156	2	324	71	393	0.9938271604938271	0.9938271604938271
GH154_e17	GH154:227|GH88:5|GH16_10:1	-	-	357	I2D73_RS01355	408	4.5e-163	1	356	27	384	0.9943977591036415	0.9943977591036415
GH105_e29	GH105:94|PL33_2:14|PL35:2	-	-	312	I2D73_RS01380	361	3.7e-142	2	312	49	359	0.9935897435897436	0.9935897435897436
GH2_e14	GH2:396|GH43:2|GH43_26:1|CBM35:1|GH43_10:1	-	-	567	I2D73_RS01385	605	8.8e-261	3	559	45	601	0.9805996472663139	0.9805996472663139
GH2_e38	GH2:12	-	-	765	I2D73_RS03335	921	0	1	765	28	791	0.9986928104575163	0.9986928104575163
GT2	GT2:36	-	-	218	I2D73_RS04960	404	4.2e-108	1	218	57	276	0.9954128440366973	0.9954128440366973
CBM62_e9	CBM62:22	-	xyloglucan, arabinogalactan and galactomannan	68	I2D73_RS07175	670	6.9e-17	1	68	470	526	0.9852941176470589	0.9852941176470589
CBM62_e1	CBM62:53	-	xyloglucan, arabinogalactan and galactomannan	89	I2D73_RS07225	671	4e-31	12	86	450	538	0.8314606741573034	0.8314606741573034
GT2	GT2:7	-	-	141	I2D73_RS11015	294	1.8e-55	1	141	7	152	0.9929078014184397	0.9929078014184397
GT2	GT2:15	-	-	117	I2D73_RS11025	342	3.6e-53	1	110	17	126	0.9316239316239316	0.9316239316239316
GT4_e3584	GT4:10	-	-	151	I2D73_RS11030	358	3.7e-63	1	151	178	328	0.9933774834437086	0.9933774834437086
GT4_e1477	GT4:11	-	-	159	I2D73_RS11040	378	5.9e-44	3	158	192	348	0.9748427672955975	0.9748427672955975
GH97_e1	GH97:229	3.2.1.22:1	alpha-glucan	639	I2D73_RS12965	660	2.5e-252	4	638	16	655	0.9921752738654147	0.9921752738654147
CE20_e10	CE20:99	-	-	256	I2D73_RS12975	493	8.5e-104	1	256	102	357	0.99609375	0.99609375
GH110_e7	GH110:15	-	-	546	I2D73_RS12980	575	1.2e-260	2	546	28	573	0.9963369963369964	0.9963369963369964
GT4_e2685	GT4:130	-	-	152	I2D73_RS15955	379	2.8e-61	4	150	195	341	0.9605263157894737	0.9605263157894737
GT2	GT2:6	-	-	130	I2D73_RS15965	305	2.7e-63	1	129	7	135	0.9846153846153847	0.9846153846153847
GT4_e943	GT4:8	-	-	155	I2D73_RS15975	367	1.7e-72	3	154	184	335	0.9741935483870968	0.9741935483870968
GT4_e395	GT4:5	-	-	149	I2D73_RS15985	392	7e-83	1	149	195	351	0.9932885906040269	0.9932885906040269
GT4_e4053	GT4:9	-	-	147	I2D73_RS23530	371	1.3e-63	2	147	194	339	0.9863945578231292	0.9863945578231292
GH2_e80	GH2:380	3.2.1.25:4	beta-mannan	707	I2D73_RS23660	856	2.3e-302	3	706	26	735	0.9943422913719944	0.9943422913719944
CE20_e40	CE20:34	-	-	260	I2D73_RS23670	474	9.4e-115	1	260	104	362	0.9961538461538462	0.9961538461538462
GH173_e2	GH173:13	-	-	269	I2D73_RS23675	494	3.2e-140	1	269	77	345	0.9962825278810409	0.9962825278810409
GH130_e18	GH130:34	2.4.1.-:1	beta-mannan	332	I2D73_RS23680	346	3.8e-169	2	331	5	335	0.9909638554216867	0.9909638554216867
GT2	GT2:9	-	-	133	I2D73_RS24650	140	3.7e-53	1	107	6	110	0.7969924812030075	0.7969924812030075
GT4_e1861	GT4:6	-	-	158	I2D74_RS24955	407	7.6e-60	2	158	214	371	0.9873417721518988	0.9873417721518988
GT2	GT2:6	-	-	154	I2D75_RS02040	329	7.8e-28	1	120	6	129	0.7727272727272727	0.7727272727272727
GT4_e1008	GT4:27	-	-	159	I2D75_RS02060	586	1.4e-19	5	152	176	325	0.9245283018867925	0.9245283018867925
CE4_e274	CE4:13|GT4:1	-	-	141	I2D75_RS02060	586	4.7e-32	5	132	423	548	0.900709219858156	0.900709219858156
GT4_e263	GT4:14|GT2:1	-	-	150	I2D75_RS20040	395	5e-25	2	148	213	353	0.9733333333333334	0.9733333333333334
GT2	GT2:25	-	-	119	I2D75_RS20045	287	7.5e-44	2	119	7	126	0.9831932773109243	0.9831932773109243
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	I2D87_RS23350	338	2.7e-19	2	197	90	322	0.9466019417475728	0.9466019417475728
GT83_e29	GT83:11	-	-	366	I2E52_RS01085	523	5.2e-69	10	351	15	349	0.9316939890710383	0.9316939890710383
GT83_e95	GT83:17	-	-	447	I2E52_RS01100	565	4e-38	3	401	19	437	0.8903803131991052	0.8903803131991052
GT2	GT2:17	-	-	154	I2E52_RS01105	243	2.9e-70	1	153	11	163	0.987012987012987	0.987012987012987
GT4_e3464	GT4:10	-	-	137	I2E52_RS03605	332	3.1e-19	2	135	168	301	0.9708029197080292	0.9708029197080292
PL27_e0	PL27:44	4.2.2.-:3	-	607	I2E52_RS09275	709	3.1e-284	2	606	69	687	0.9950576606260296	0.9950576606260296
GH28_e57	GH28:64|CBM16:1	-	-	259	I2E52_RS09780	470	2.1e-122	2	258	193	449	0.9884169884169884	0.9884169884169884
GH28_e57	GH28:64|CBM16:1	-	-	259	I2E52_RS09825	471	3.6e-134	1	258	194	452	0.9922779922779923	0.9922779922779923
GT4_e2975	GT4:7	-	-	162	I2E52_RS10075	413	2.5e-53	2	160	225	384	0.9753086419753086	0.9753086419753086
GT2	GT2:24	-	-	124	I2E52_RS10100	623	2.5e-44	1	122	12	134	0.9758064516129032	0.9758064516129032
GT32_e178	GT32:6	-	-	75	I2E52_RS10110	236	6.9e-36	1	74	30	103	0.9733333333333334	0.9733333333333334
GT32_e178	GT32:6	-	-	75	I2E52_RS10115	237	2.8e-34	1	74	30	103	0.9733333333333334	0.9733333333333334
GH31_e10	GH31:63	-	-	469	I2E52_RS13930	843	2.2e-223	1	469	261	731	0.997867803837953	0.997867803837953
GH127_e2	GH127:26	-	-	532	I2E52_RS17780	814	0	1	532	40	571	0.9981203007518797	0.9981203007518797
GH105_e39	GH105:124|GH154:20|GH16_3:1|GH43_24:1	3.2.1.-:1	ulvan	327	I2E52_RS18225	356	1.8e-179	3	327	28	351	0.9908256880733946	0.9908256880733946
GH136_e46	GH136:35	-	-	465	I2E52_RS18235	518	1.3e-183	1	436	30	470	0.9354838709677419	0.9354838709677419
GH38_e23	GH38:58	-	-	166	I2E52_RS18535	845	4.2e-88	1	166	45	206	0.9939759036144579	0.9939759036144579
CE20_e20	CE20:241	-	-	236	I2E52_RS19065	664	2.3e-107	1	235	103	545	0.9915254237288136	0.9915254237288136
GH130_e20	GH130:130	3.2.1.197:4	-	311	I2E52_RS19110	379	6.1e-168	2	311	65	374	0.9935691318327974	0.9935691318327974
GH24_e69	GH24:62	-	-	124	I2E52_RS22075	178	1.7e-64	1	124	46	171	0.9919354838709677	0.9919354838709677
GT4_e2555	GT4:9	-	-	148	I2E52_RS22730	352	1.6e-36	2	141	180	319	0.9391891891891891	0.9391891891891891
GT4_e779	GT4:21	-	-	147	I2E52_RS22735	393	7.2e-48	3	146	217	360	0.9727891156462585	0.9727891156462585
CE4_e87	CE4:6	-	-	129	I2E52_RS22745	254	7.6e-22	4	125	55	175	0.937984496124031	0.937984496124031
GT2	GT2:13	-	-	229	I2E52_RS22750	278	4.3e-57	2	225	9	233	0.9737991266375546	0.9737991266375546
GT2	GT2:41|GT8:12	-	-	158	I2E52_RS25100	320	5e-44	1	157	5	164	0.9873417721518988	0.9873417721518988
GT2	GT2:12	-	-	131	I2E52_RS25110	250	3e-59	1	129	6	135	0.9770992366412213	0.9770992366412213
GH2_e42	GH2:49|GH31:1	3.2.1.37:1	xylan	458	I2F03_RS01650	1145	3.3e-230	1	458	82	539	0.9978165938864629	0.9978165938864629
GH106_e46	GH106:55	-	-	732	I2F88_RS03205	1080	1.5e-300	5	731	358	1075	0.9918032786885246	0.9918032786885246
GH18_e216	GH18:14	-	-	186	I2F88_RS06185	479	8.6e-74	4	186	198	377	0.978494623655914	0.978494623655914
GH123_e15	GH123:7	-	-	494	I2F88_RS16460	571	1.2e-281	1	493	47	539	0.9959514170040485	0.9959514170040485
GH18_e64	GH18:21	-	-	172	I2G85_RS16750	538	6.1e-89	6	172	224	389	0.9651162790697675	0.9651162790697675
GH18_e46	GH18:12	-	-	181	I2G85_RS16755	308	2.4e-75	5	180	76	249	0.9668508287292817	0.9668508287292817
GT2	GT2:6	-	-	155	I2G85_RS21545	267	2.5e-46	1	154	6	163	0.9870967741935484	0.9870967741935484
GT4_e2073	GT4:10	-	-	138	I2G85_RS21555	394	5.4e-53	2	135	219	354	0.9637681159420289	0.9637681159420289
GT4_e150	GT4:11	-	-	140	I2G85_RS21575	374	4.4e-35	2	139	197	335	0.9785714285714285	0.9785714285714285
